# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Angers,1949–50,Division 2,,,,,,,,
Angers,1950–51,Division 2,,,,,,,,
Angers,Total,Total,60.0,15.0,,,,,,
Reims,1951–52,Division 1,33.0,8.0,,,,,,
Reims,1952–53,Division 1,33.0,13.0,,,,,,
Reims,1953–54,Division 1,31.0,11.0,,,,,,
Reims,1954–55,Division 1,31.0,11.0,,,,,,
Reims,1955–56,Division 1,30.0,5.0,,,,,,
Reims,Total,Total,158.0,48.0,,,,,,
Real Madrid,1956–57,La Liga,22.0,6.0,0.0,0.0,8.0,2.0,30.0,8.0
Real Madrid,1957–58,La Liga,27.0,8.0,0.0,0.0,7.0,3.0,34.0,11.0
Real Madrid,1958–59,La Liga,30.0,10.0,0.0,0.0,7.0,1.0,37.0,11.0
Real Madrid,Total,Total,79.0,24.0,0.0,0.0,22.0,6.0,101.0,30.0
Reims,1959–60,Division 1,36.0,14.0,,,,,,
Reims,1960–61,Division 1,30.0,5.0,,,,,,
Reims,1961–62,Division 1,30.0,2.0,,,,,,
Reims,1962–63,Division 1,34.0,1.0,,,,,,
Reims,1963–64,Division 1,25.0,5.0,,,,,,
Reims,1964–65,Division 2,29.0,3.0,,,,,,
Reims,1965–66,Division 2,27.0,3.0,,,,,,
Reims,1966–67,Division 1,33.0,3.0,,,,,,
Reims,Total,Total,244.0,36.0,,,,,,
Career total,Career total,Career total,541.0,123.0,,,,,,
