# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Nantes,1985–86,Division 1,7,0,0,0,1,0,—,—,8,0
Nantes,1986–87,Division 1,19,0,1,0,2,0,—,—,22,0
Nantes,1987–88,Division 1,30,2,3,0,—,—,—,—,33,2
Nantes,1988–89,Division 1,36,1,5,0,—,—,—,—,41,1
Nantes,1989–90,Division 1,19,1,0,0,—,—,—,—,19,1
Nantes,Total,Total,111,4,9,0,!3,0,0,0,123,4
Marseille,1989–90,Division 1,17,1,5,3,4,0,—,—,26,4
Marseille,1991–92,Division 1,36,4,4,0,4,0,—,—,44,4
Marseille,1992–93,Division 1,36,1,3,0,11,0,—,—,50,1
Marseille,1993–94,Division 1,34,0,4,0,—,—,—,—,38,0
Marseille,Total,Total,123,6,16,3,19,0,0,0,158,9
Bordeaux (loan),1990–91,Division 1,29,3,1,0,4,0,—,—,34,3
Juventus,1994–95,Serie A,14,1,3,0,6,0,—,—,23,1
Juventus,1995–96,Serie A,30,2,1,0,8,0,1,0,40,2
Juventus,1996–97,Serie A,26,1,3,0,10,0,2,0,41,1
Juventus,1997–98,Serie A,25,0,0,0,8,0,1,0,34,0
Juventus,1998–99,Serie A,29,0,1,0,9,0,1,0,40,0
Juventus,Total,Total,124,4,8,0,41,0,5,0,178,4
Chelsea,1999–2000,Premier League,27,0,6,0,14,1,—,—,47,1
Valencia,2000–01,La Liga,13,0,1,0,7,0,—,—,21,0
Career total,Career total,Career total,427,17,41,3,88,1,5,0,561,21
