# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Barcelona B,2000–01,Segunda División B,10,0,—,—,—,—,—,—,—,—,10,0
Barcelona B,2001–02,Segunda División B,25,2,—,—,—,—,—,—,5,0,30,2
Barcelona B,2002–03,Segunda División B,14,3,—,—,—,—,—,—,—,—,14,3
Barcelona B,Total,Total,49,5,—,—,—,—,—,—,5,0,54,5
Barcelona,2002–03,La Liga,6,0,0,0,—,—,3,0,—,—,9,0
Barcelona,2003–04,La Liga,11,1,3,1,—,—,3,0,–,–,17,2
Barcelona,2004–05,La Liga,37,2,1,0,—,—,8,0,—,—,46,2
Barcelona,2005–06,La Liga,33,0,4,0,—,—,11,1,1,0,49,1
Barcelona,2006–07,La Liga,37,6,6,1,—,—,8,2,5,0,56,9
Barcelona,2007–08,La Liga,31,3,7,0,—,—,11,1,—,—,49,4
Barcelona,2008–09,La Liga,26,4,6,0,—,—,11,1,—,—,43,5
Barcelona,2009–10,La Liga,29,1,3,0,—,—,9,0,1,0,42,1
Barcelona,2010–11,La Liga,34,8,5,0,—,—,10,1,1,0,50,9
Barcelona,2011–12,La Liga,27,2,6,2,—,—,8,3,5,1,46,8
Barcelona,2012–13,La Liga,31,3,5,2,—,—,10,1,2,0,48,6
Barcelona,2013–14,La Liga,35,3,6,0,—,—,9,0,2,0,52,3
Barcelona,2014–15,La Liga,24,0,7,3,—,—,11,0,—,—,42,3
Barcelona,2015–16,La Liga,28,1,4,0,—,—,7,0,5,0,44,1
Barcelona,2016–17,La Liga,23,0,5,0,—,—,8,1,1,0,37,1
Barcelona,2017–18,La Liga,30,1,5,1,—,—,8,0,1,0,44,2
Barcelona,Total,Total,442,35,73,10,—,—,135,11,24,1,674,57
Vissel Kobe,2018,J1 League,14,3,1,0,0,0,—,—,—,—,15,3
Vissel Kobe,2019,J1 League,23,6,2,1,0,0,—,—,—,—,25,7
Vissel Kobe,2020,J1 League,26,4,0,0,1,0,6,2,1,0,34,6
Vissel Kobe,2021,J1 League,23,6,0,0,4,1,—,—,—,—,27,7
Vissel Kobe,2022,J1 League,24,2,1,0,1,0,1,1,—,—,27,3
Vissel Kobe,2023,J1 League,4,0,0,0,2,0,—,—,—,—,6,0
Vissel Kobe,Total,Total,114,21,4,1,8,1,7,3,1,0,134,26
Emirates,2023–24,UAE Pro League,20,5,1,0,2,0,—,—,—,—,23,5
Career total,Career total,Career total,625,66,78,11,10,1,142,14,30,1,885,93
