# Table 3
Goal,Date,Venue,Opponent,Score,Result,Competition
1.0,24 March 1993,"Stadion Galgenwaard, Utrecht, Netherlands",San Marino,4–0,6–0,1994 FIFA World Cup qualification
2.0,22 September 1993,"Stadio Renato Dall'Ara, Bologna, Italy",San Marino,4–0,7–0,1994 FIFA World Cup qualification
3.0,17 November 1993,"Stadion Miejski, Poznań, Poland",Poland,3–1,3–1,1994 FIFA World Cup qualification
4.0,7 September 1994,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,2–0,4–0,UEFA Euro 1996 qualifying
5.0,7 September 1994,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,3–0,4–0,UEFA Euro 1996 qualifying
6.0,14 December 1994,"De Kuip, Rotterdam, Netherlands",Luxembourg,4–0,5–0,UEFA Euro 1996 qualifying
7.0,31 August 1996,"Amsterdam Arena, Amsterdam, Netherlands",Brazil,1–1,2–2,Friendly
8.0,5 October 1996,"Cardiff Arms Park, Cardiff, Wales",Wales,3–1,3–1,1998 FIFA World Cup qualification
9.0,9 November 1996,"Philips Stadion, Eindhoven, Netherlands",Wales,2–0,7–1,1998 FIFA World Cup qualification
10.0,21 February 1998,"Pro Player Stadium, Miami Gardens, United States",United States,1–0,2–0,Friendly
11.0,20 June 1998,"Stade Vélodrome, Marseille, France",South Korea,5–0,5–0,1998 FIFA World Cup
12.0,25 June 1998,"Stade Geoffroy-Guichard, Saint-Étienne, France",Mexico,2–0,2–2,1998 FIFA World Cup
13.0,16 June 2000,"De Kuip, Rotterdam, Netherlands",Denmark,2–0,3–0,UEFA Euro 2000
