# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cerro,2003,Uruguayan Primera División,2,0,0,0,—,—,—,—,2,0
Cerro,2004,Uruguayan Primera División,14,0,1,0,—,—,—,—,15,0
Cerro,2005,Uruguayan Primera División,17,1,0,0,—,—,—,—,17,1
Cerro,2005–06,Uruguayan Primera División,30,5,0,0,—,—,—,—,30,5
Cerro,Total,Total,63,6,1,0,—,—,—,—,64,6
Nacional,2006–07,Uruguayan Primera División,26,0,4,0,16,2,—,—,46,2
Villarreal,2007–08,La Liga,24,1,3,0,7,0,—,—,34,1
Villarreal,2008–09,La Liga,31,0,0,0,7,0,—,—,38,0
Villarreal,2009–10,La Liga,36,3,2,0,6,0,—,—,44,3
Villarreal,Total,Total,91,4,5,0,20,0,—,—,116,4
Atlético Madrid,2010–11,La Liga,25,0,1,1,3,1,1,0,30,2
Atlético Madrid,2011–12,La Liga,27,2,1,0,13,1,—,—,41,3
Atlético Madrid,2012–13,La Liga,35,1,5,0,1,0,1,0,42,1
Atlético Madrid,2013–14,La Liga,34,4,5,2,10,2,2,0,51,8
Atlético Madrid,2014–15,La Liga,34,3,3,0,9,1,2,0,48,4
Atlético Madrid,2015–16,La Liga,31,1,3,0,12,0,—,—,46,1
Atlético Madrid,2016–17,La Liga,31,3,5,0,11,0,—,—,47,3
Atlético Madrid,2017–18,La Liga,30,0,3,1,12,0,—,—,45,1
Atlético Madrid,2018–19,La Liga,30,3,2,0,6,1,1,0,39,4
Atlético Madrid,Total,Total,277,17,28,4,77,6,7,0,389,27
Inter Milan,2019–20,Serie A,23,1,2,0,11,1,—,—,36,2
Cagliari,2020–21,Serie A,28,1,0,0,—,—,—,—,28,1
Cagliari,2021–22,Serie A,11,0,1,0,—,—,—,—,12,0
Cagliari,Total,Total,39,1,1,0,—,—,—,—,40,1
Atlético Mineiro,2022,Série A,1,0,1,0,2,0,5,1,9,1
Vélez Sarsfield,2022,Argentine Primera División,6,1,0,0,2,0,—,—,8,1
Vélez Sarsfield,2023,Argentine Primera División,13,0,1,0,—,—,—,—,14,0
Vélez Sarsfield,Total,Total,19,1,1,0,2,0,—,—,22,1
Career total,Career total,Career total,539,30,43,4,128,9,12,1,722,44
