# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Sevilla Atlético,2003–04,Segunda División B,26,2,—,—,—,—,—,—,26,2
Sevilla,2003–04,La Liga,7,0,0,0,0,0,0,0,7,0
Sevilla,2004–05,La Liga,31,2,5,0,6,1,—,—,42,3
Sevilla,2005–06,La Liga,1,0,0,0,0,0,0,0,1,0
Sevilla,Total,Total,39,2,5,0,6,1,0,0,50,3
Real Madrid,2005–06,La Liga,33,4,6,1,7,1,0,0,46,6
Real Madrid,2006–07,La Liga,33,5,3,0,6,1,0,0,42,6
Real Madrid,2007–08,La Liga,33,5,3,0,7,0,2,1,45,6
Real Madrid,2008–09,La Liga,32,4,0,0,8,1,2,1,42,6
Real Madrid,2009–10,La Liga,33,4,0,0,7,0,0,0,40,4
Real Madrid,2010–11,La Liga,31,3,7,1,8,0,0,0,46,4
Real Madrid,2011–12,La Liga,34,3,4,0,11,1,2,0,51,4
Real Madrid,2012–13,La Liga,26,4,3,0,9,1,2,0,40,5
Real Madrid,2013–14,La Liga,32,4,8,0,11,3,0,0,51,7
Real Madrid,2014–15,La Liga,27,4,2,1,8,0,5,2,42,7
Real Madrid,2015–16,La Liga,23,2,0,0,10,1,0,0,33,3
Real Madrid,2016–17,La Liga,28,7,3,1,11,1,2,1,44,10
Real Madrid,2017–18,La Liga,26,4,1,0,11,1,4,0,42,5
Real Madrid,2018–19,La Liga,28,6,6,3,5,0,3,2,42,11
Real Madrid,2019–20,La Liga,35,11,2,0,5,2,2,0,44,13
Real Madrid,2020–21,La Liga,15,2,0,0,5,2,1,0,21,4
Real Madrid,Total,Total,469,72,48,7,129,15,25,7,671,101
Paris Saint-Germain,2021–22,Ligue 1,12,2,1,0,0,0,0,0,13,2
Paris Saint-Germain,2022–23,Ligue 1,33,2,3,1,8,0,1,1,45,4
Paris Saint-Germain,Total,Total,45,4,4,1,8,0,1,1,58,6
Sevilla,2023–24,La Liga,28,3,4,2,5,2,—,—,37,7
Monterrey,2024–25,Liga MX,8,3,—,—,1,1,4,1,13,5
Monterrey,2025–26,Liga MX,9,1,—,—,0,0,2,0,11,1
Monterrey,Total,Total,17,4,—,—,1,1,6,1,24,6
Career total,Career total,Career total,624,87,61,10,149,19,32,9,866,125
