# List of international goals scored by Careca
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,28 April 1983,"Maracanã Stadium, Rio de Janeiro, Brazil",Chile,–,3–2,Friendly,
2,8 June 1983,"Estádio Cidade de Coimbra, Coimbra, Portugal",Portugal,1–0,4–0,Friendly,
3,8 June 1983,"Estádio Cidade de Coimbra, Coimbra, Portugal",Portugal,3–0,4–0,Friendly,
4,17 June 1983,"St. Jakob-Park, Basel, Switzerland",Switzerland,2–1,2–1,Friendly,
5,22 June 1983,"Ullevi, Gothenburg, Sweden",Sweden,2–2,3–3,Friendly,
6,2 May 1985,"Estádio do Arruda, Recife, Brazil",Uruguay,–,2–0,Friendly,
7,5 May 1985,"Estádio Fonte Nova, Salvador, Brazil",Argentina,1–0,2–1,Friendly,
8,30 June 1985,"Estádio do Morumbi, São Paulo, Brazil",Bolivia,–,1–1,1986 FIFA World Cup qualification,
9,1 April 1986,"Castelão, São Luís, Brazil",Peru,4–0,4–0,Friendly,
10,8 April 1986,"Estádio Serra Dourada, Goiânia, Brazil",East Germany,3–0,3–0,Friendly,
11,30 April 1986,"Estádio do Arruda, Recife, Brazil",Yugoslavia,4–2,4–2,Friendly,
12,6 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Algeria,1–0,1–0,1986 FIFA World Cup,
13,12 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Northern Ireland,1–0,3–0,1986 FIFA World Cup,
14,12 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Northern Ireland,3–0,3–0,1986 FIFA World Cup,
15,16 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Poland,4–0,4–0,1986 FIFA World Cup,
16,21 June 1986,"Estadio Jalisco, Guadalajara, Mexico",France,1–0,1–1,1986 FIFA World Cup,
17,21 June 1987,"Estádio da Ressacada, Florianópolis, Brazil",Ecuador,–,4–1,Friendly,
18,28 June 1987,"Estadio Córdoba, Córdoba, Argentina",Venezuela,3–0,5–0,1987 Copa América,
19,20 August 1989,"Estádio do Morumbi, São Paulo, Brazil",Venezuela,1–0,6–0,1990 FIFA World Cup qualification,
20,20 August 1989,"Estádio do Morumbi, São Paulo, Brazil",Venezuela,2–0,6–0,1990 FIFA World Cup qualification,
21,20 August 1989,"Estádio do Morumbi, São Paulo, Brazil",Venezuela,5–0,6–0,1990 FIFA World Cup qualification,
22,20 August 1989,"Estádio do Morumbi, São Paulo, Brazil",Venezuela,6–0,6–0,1990 FIFA World Cup qualification,
23,3 September 1989,"Maracanã Stadium, Rio de Janeiro, Brazil",Chile,–,2–0,1990 FIFA World Cup qualification,
24,20 December 1989,"De Kuip, Rotterdam, Netherlands",Netherlands,1–0,1–0,Friendly,
25,13 May 1990,"Maracanã Stadium, Rio de Janeiro, Brazil",East Germany,2–1,3–3,Friendly,
26,10 June 1990,"Juventus Stadium, Turin, Italy",Sweden,1–0,2–1,1990 FIFA World Cup,
27,10 June 1990,"Juventus Stadium, Turin, Italy",Sweden,2–0,2–1,1990 FIFA World Cup,
28,6 June 1993,"Yale Bowl, New Haven, United States",United States,1–0,2–0,1993 U.S. Cup,
29,10 June 1993,"Robert F. Kennedy Memorial Stadium, Washington, United States",Germany,2–0,3–3,1993 U.S. Cup,
