# List of international goals scored by João Pinto
No.,Date,Venue,Opponent,Score,Result,Competition
1,20 November 1991,"Estádio da Luz (1954), Lisbon, Portugal",Greece,1–0,1–0,Euro 1992 qualifying
2,19 June 1993,"Estádio do Bessa, Porto, Portugal",Malta,3–0,4–0,1994 World Cup qualification
3,13 October 1993,"Estádio das Antas, Porto, Portugal",Switzerland,1–0,1–0,1994 World Cup qualification
4,9 October 1994,"Daugava Stadium (Riga), Riga, Latvia",Latvia,1–1,3–1,Euro 1996 qualifying
5,9 October 1994,"Daugava Stadium (Riga), Riga, Latvia",Latvia,2–0,3–1,Euro 1996 qualifying
6,18 December 1994,"Estádio da Luz (1954), Lisbon, Portugal",Liechtenstein,4–0,8–0,Euro 1996 qualifying
7,19 June 1996,"City Ground, Nottingham, England",Croatia,2–0,3–0,UEFA Euro 1996
8,5 October 1996,"Olimpiysky National Sports Complex, Kyiv, Ukraine",Ukraine,1–1,1–2,1998 World Cup qualification
9,7 June 1997,"Estádio das Antas, Porto, Portugal",Albania,1–0,2–0,1998 World Cup qualification
10,14 October 1998,"Štadión Pasienky, Bratislava, Slovakia",Slovakia,1–0,3–0,Euro 2000 qualifying
11,14 October 1998,"Štadión Pasienky, Bratislava, Slovakia",Slovakia,2–0,3–0,Euro 2000 qualifying
12,26 March 1999,"Estádio D. Afonso Henriques, Guimarães, Portugal",Azerbaijan,2–0,7–0,Euro 2000 qualifying
13,26 March 1999,"Estádio D. Afonso Henriques, Guimarães, Portugal",Azerbaijan,5–0,7–0,Euro 2000 qualifying
14,9 June 1999,"Estádio Municipal de Coimbra, Coimbra, Portugal",Liechtenstein,2–0,8–0,Euro 2000 qualifying
15,9 June 1999,"Estádio Municipal de Coimbra, Coimbra, Portugal",Liechtenstein,5–0,8–0,Euro 2000 qualifying
16,9 June 1999,"Estádio Municipal de Coimbra, Coimbra, Portugal",Liechtenstein,6–0,8–0,Euro 2000 qualifying
17,18 August 1999,"Estádio Nacional, Lisbon, Portugal",Andorra,2–0,4–0,Friendly
18,9 October 1999,"Estádio da Luz (1954), Lisbon, Portugal",Hungary,2–0,3–0,Euro 2000 qualifying
19,12 June 2000,"Philips Stadion, Eindhoven, Netherlands",England,2–2,3–2,UEFA Euro 2000
20,16 August 2000,"Estádio do Fontelo, Viseu, Portugal",Lithuania,1–0,5–1,Friendly
21,6 June 2001,"Estádio José Alvalade (1956), Lisbon, Portugal",Cyprus,5–0,6–0,2002 World Cup qualification
22,6 June 2001,"Estádio José Alvalade (1956), Lisbon, Portugal",Cyprus,6–0,6–0,2002 World Cup qualification
23,6 October 2001,"Estádio da Luz (1954), Lisbon, Portugal",Estonia,1–0,5–0,2002 World Cup qualification
