# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,1996–97,Premier League,2,1,0,0,1,0,0,0,—,—,3,1
Liverpool,1997–98,Premier League,20,0,0,0,2,0,1,0,—,—,23,0
Liverpool,1998–99,Premier League,34,1,2,0,2,0,6,0,—,—,44,1
Liverpool,1999–2000,Premier League,36,0,2,0,2,0,—,—,—,—,40,0
Liverpool,2000–01,Premier League,34,0,6,0,6,0,12,0,—,—,58,0
Liverpool,2001–02,Premier League,33,0,2,0,1,0,15,0,2,0,53,0
Liverpool,2002–03,Premier League,35,0,3,0,5,0,11,0,0,0,54,0
Liverpool,2003–04,Premier League,22,0,3,0,0,0,4,0,—,—,29,0
Liverpool,2004–05,Premier League,38,0,0,0,3,0,15,0,—,—,56,0
Liverpool,2005–06,Premier League,36,0,6,0,0,0,12,1,3,0,57,1
Liverpool,2006–07,Premier League,35,1,1,0,1,0,13,0,1,0,51,1
Liverpool,2007–08,Premier League,35,0,4,0,3,0,13,0,—,—,55,0
Liverpool,2008–09,Premier League,38,0,3,0,1,0,12,0,—,—,54,0
Liverpool,2009–10,Premier League,37,0,2,0,1,0,13,0,—,—,53,0
Liverpool,2010–11,Premier League,28,0,0,0,0,0,10,0,—,—,38,0
Liverpool,2011–12,Premier League,21,0,5,0,5,0,—,—,—,—,31,0
Liverpool,2012–13,Premier League,24,0,1,0,2,0,11,0,—,—,38,0
Career total,Career total,Career total,508,3,40,0,35,0,148,1,6,0,737,4
