# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2007–08,Regionalliga Süd,12,3,—,—,—,—,—,—,12,3
Bayern Munich II,2008–09,3. Liga,1,1,—,—,—,—,—,—,1,1
Bayern Munich II,Total,Total,13,4,—,—,—,—,—,—,13,4
Bayern Munich,2007–08,Bundesliga,12,0,2,0,6,1,—,—,20,1
Bayern Munich,2008–09,Bundesliga,7,0,1,1,1,0,—,—,9,1
Bayern Munich,2010–11,Bundesliga,27,1,3,1,7,1,—,—,37,3
Bayern Munich,2011–12,Bundesliga,31,4,6,1,14,2,—,—,51,7
Bayern Munich,2012–13,Bundesliga,24,6,3,0,9,3,1,0,37,9
Bayern Munich,2013–14,Bundesliga,29,2,6,1,12,1,4,0,51,4
Bayern Munich,Total,Total,130,13,21,4,49,8,5,0,205,25
Bayer Leverkusen (loan),2008–09,Bundesliga,10,1,3,0,—,—,—,—,13,1
Bayer Leverkusen (loan),2009–10,Bundesliga,33,9,2,0,—,—,—,—,35,9
Bayer Leverkusen (loan),Total,Total,43,10,5,0,—,—,—,—,48,10
Real Madrid,2014–15,La Liga,36,2,2,0,12,0,5,0,55,2
Real Madrid,2015–16,La Liga,32,1,0,0,12,0,—,—,44,1
Real Madrid,2016–17,La Liga,29,3,5,0,12,1,2,0,48,4
Real Madrid,2017–18,La Liga,27,5,0,0,12,0,4,0,43,5
Real Madrid,2018–19,La Liga,28,0,4,0,8,1,3,0,43,1
Real Madrid,2019–20,La Liga,35,4,2,0,6,1,2,1,45,6
Real Madrid,2020–21,La Liga,28,3,1,0,12,0,1,0,42,3
Real Madrid,2021–22,La Liga,28,1,3,0,12,2,2,0,45,3
Real Madrid,2022–23,La Liga,30,2,5,0,12,0,5,0,52,2
Real Madrid,2023–24,La Liga,33,1,1,0,12,0,2,0,48,1
Real Madrid,Total,Total,306,22,23,0,110,5,26,1,465,28
Career total,Career total,Career total,492,49,49,4,159,13,31,1,731,67
