# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Talleres,1992–93,Primera Nacional,33,1,—,—,—,—,—,—,33,1
Banfield,1993–94,Primera División,37,1,—,—,—,—,—,—,37,1
Banfield,1994–95,Primera División,29,3,—,—,—,—,—,—,29,3
Banfield,Total,Total,66,4,—,—,—,—,—,—,66,4
Inter Milan,1995–96,Serie A,32,2,5,0,2,0,—,—,39,2
Inter Milan,1996–97,Serie A,33,3,5,1,12,0,—,—,50,4
Inter Milan,1997–98,Serie A,28,0,4,0,9,2,—,—,41,2
Inter Milan,1998–99,Serie A,34,3,5,0,9,1,2,0,50,4
Inter Milan,1999–2000,Serie A,34,1,8,1,—,—,1,0,43,2
Inter Milan,2000–01,Serie A,29,0,1,0,4,0,—,—,34,0
Inter Milan,2001–02,Serie A,33,0,1,1,10,1,—,—,44,2
Inter Milan,2002–03,Serie A,34,1,1,0,18,0,—,—,53,1
Inter Milan,2003–04,Serie A,34,0,5,0,12,0,—,—,51,0
Inter Milan,2004–05,Serie A,35,0,3,0,11,0,—,—,49,0
Inter Milan,2005–06,Serie A,25,0,5,0,8,0,1,0,39,0
Inter Milan,2006–07,Serie A,37,1,4,0,8,0,1,0,50,1
Inter Milan,2007–08,Serie A,38,1,4,0,8,0,1,0,51,1
Inter Milan,2008–09,Serie A,38,0,4,0,8,0,1,0,51,0
Inter Milan,2009–10,Serie A,37,0,4,0,13,0,1,0,55,0
Inter Milan,2010–11,Serie A,35,0,5,0,8,1,4,1,52,2
Inter Milan,2011–12,Serie A,34,0,2,0,8,0,1,0,45,0
Inter Milan,2012–13,Serie A,33,0,4,0,11,0,—,—,48,0
Inter Milan,2013–14,Serie A,12,0,1,0,—,—,—,—,13,0
Inter Milan,Total,Total,615,12,71,3,159,5,13,1,858,21
Career total,Career total,Career total,714,17,71,3,159,5,13,1,957,26
