# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Boulogne,2011–12,Ligue 2,1,0,0,0,0,0,—,—,—,—,1,0
Boulogne,2012–13,Championnat National,37,3,2,1,0,0,—,—,—,—,39,4
Boulogne,Total,Total,38,3,2,1,0,0,—,—,—,—,40,4
Caen,2013–14,Ligue 2,38,2,4,1,1,0,—,—,—,—,43,3
Caen,2014–15,Ligue 1,37,2,1,1,1,0,—,—,—,—,39,3
Caen,Total,Total,75,4,5,2,2,0,—,—,—,—,82,6
Leicester City,2015–16,Premier League,37,1,1,0,2,0,—,—,—,—,40,1
Chelsea,2016–17,Premier League,35,1,5,1,1,0,—,—,—,—,41,2
Chelsea,2017–18,Premier League,34,1,5,0,2,0,6,0,1,0,48,1
Chelsea,2018–19,Premier League,36,4,2,0,5,1,10,0,0,0,53,5
Chelsea,2019–20,Premier League,22,3,1,0,0,0,4,0,1,0,28,3
Chelsea,2020–21,Premier League,30,0,4,0,1,0,13,0,—,—,48,0
Chelsea,2021–22,Premier League,26,2,3,0,4,0,6,0,3,0,42,2
Chelsea,2022–23,Premier League,7,0,0,0,0,0,2,0,—,—,9,0
Chelsea,Total,Total,190,11,20,1,13,1,41,0,5,0,269,13
Al-Ittihad,2023–24,Saudi Pro League,30,2,4,1,—,—,6,0,6,1,46,4
Al-Ittihad,2024–25,Saudi Pro League,31,4,4,0,—,—,—,—,—,—,35,4
Al-Ittihad,2025–26,Saudi Pro League,4,1,0,0,—,—,0,0,1,0,5,1
Al-Ittihad,Total,Total,65,7,8,1,—,—,6,0,7,1,86,9
Career total,Career total,Career total,405,26,36,5,17,1,47,0,12,1,517,33
