# List of international goals scored by Hidetoshi Nakata
No.,Date,Venue,Opponent,Score,Result,Competition
1,22 June 1997,"Tokyo, Japan",Macau,1–0,10–0,1998 FIFA World Cup Qualification first round
2,22 June 1997,"Tokyo, Japan",Macau,8–0,10–0,1998 FIFA World Cup Qualification first round
3,28 June 1997,"Tokyo, Japan",Oman,1–0,1–1,1998 FIFA World Cup Qualification First round
4,7 September 1997,"Tokyo, Japan",Uzbekistan,3–0,6–3,1998 FIFA World Cup Qualification Final round
5,8 November 1997,"Tokyo, Japan",Kazakhstan,2–0,5–1,1998 FIFA World Cup Qualification Final round
6,15 February 1998,"Adelaide, Australia",Australia,1–0,3–0,Friendly
7,7 June 2001,"Yokohama, Japan",Australia,1–0,1–0,2001 FIFA Confederations Cup Semi-finals
8,27 March 2002,"Łódź, Poland",Poland,1–0,2–0,Friendly
9,14 June 2002,"Osaka, Japan",Tunisia,2–0,2–0,2002 FIFA World Cup Group Stage
10,18 June 2003,"Saint-Denis, France",New Zealand,2–0,3–0,2003 FIFA Confederations Cup Group Stage
11,28 February 2006,"Dortmund, Germany",Bosnia and Herzegovina,2–2,2–2,Friendly
