# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Scunthorpe United,1968–69,Fourth Division,33,2,1,0,1,0,–,–,–,–,35,2
Scunthorpe United,1969–70,Fourth Division,46,6,7,3,1,0,–,–,–,–,54,9
Scunthorpe United,1970–71,Fourth Division,45,10,6,0,1,1,–,–,–,–,52,11
Scunthorpe United,Total,Total,124,18,14,3,3,1,0,0,0,0,141,22
Liverpool,1971–72,First Division,35,9,3,2,1,0,3,0,0,0,42,11
Liverpool,1972–73,First Division,41,13,4,0,8,5,11,4,0,0,64,22
Liverpool,1973–74,First Division,42,12,9,6,6,1,4,0,0,0,61,19
Liverpool,1974–75,First Division,33,10,2,1,3,0,3,1,1,0,42,12
Liverpool,1975–76,First Division,41,12,2,1,3,0,11,3,0,0,57,16
Liverpool,1976–77,First Division,38,12,8,4,2,0,8,4,1,0,57,20
Liverpool,Total,Total,230,68,28,14,23,6,40,12,2,0,323,100
Hamburger SV,1977–78,Bundesliga,25,6,4,4,–,–,4,2,2,0,35,12
Hamburger SV,1978–79,Bundesliga,34,17,1,0,–,–,–,–,0,0,35,17
Hamburger SV,1979–80,Bundesliga,31,9,3,0,–,–,9,2,0,0,43,11
Hamburger SV,Total,Total,90,32,8,4,0,0,13,4,2,0,113,40
Southampton,1980–81,First Division,27,11,4,1,1,0,0,0,0,0,32,12
Southampton,1981–82,First Division,41,26,1,1,2,1,4,2,0,0,48,30
Southampton,Total,Total,68,37,5,2,3,1,4,2,0,0,80,42
Newcastle United,1982–83,Second Division,37,21,2,0,2,0,0,0,0,0,41,21
Newcastle United,1983–84,Second Division,41,27,1,0,2,1,0,0,0,0,44,28
Newcastle United,Total,Total,78,48,3,0,4,1,0,0,0,0,85,49
Blacktown City,1985,National Soccer League,2,1,–,–,–,–,–,–,0,0,2,1
Career total,Career total,Career total,592,204,58,23,33,9,57,18,4,0,744,254
