# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State league Apps,State league Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cruzeiro,1993,Série A,14,12,2,0,—,—,4,8,1,0,21,20
Cruzeiro,1994,Série A,—,—,18,22,—,—,8,2,—,—,26,24
Cruzeiro,Total,Total,14,12,20,22,—,—,12,10,1,0,47,44
PSV,1994–95,Eredivisie,33,30,—,—,1,2,2,3,—,—,36,35
PSV,1995–96,Eredivisie,13,12,—,—,3,1,5,6,—,—,21,19
PSV,Total,Total,46,42,—,—,4,3,7,9,—,—,57,54
Barcelona,1996–97,La Liga,37,34,—,—,4,6,7,5,1,2,49,47
Inter Milan,1997–98,Serie A,32,25,—,—,4,3,11,6,—,—,47,34
Inter Milan,1998–99,Serie A,19,14,—,—,2,0,6,1,1,0,28,15
Inter Milan,1999–2000,Serie A,7,3,—,—,1,0,—,—,—,—,8,3
Inter Milan,2000–01,Serie A,0,0,—,—,0,0,0,0,—,—,0,0
Inter Milan,2001–02,Serie A,10,7,—,—,1,0,5,0,—,—,16,7
Inter Milan,Total,Total,68,49,—,—,8,3,22,7,1,0,99,59
Real Madrid,2002–03,La Liga,31,23,—,—,1,0,11,6,1,1,44,30
Real Madrid,2003–04,La Liga,32,24,—,—,5,2,9,4,2,1,48,31
Real Madrid,2004–05,La Liga,34,21,—,—,1,0,10,3,—,—,45,24
Real Madrid,2005–06,La Liga,23,14,—,—,2,1,2,0,—,—,27,15
Real Madrid,2006–07,La Liga,7,1,—,—,2,1,4,2,—,—,13,4
Real Madrid,Total,Total,127,83,—,—,11,4,36,15,3,2,177,104
AC Milan,2006–07,Serie A,14,7,—,—,—,—,—,—,—,—,14,7
AC Milan,2007–08,Serie A,6,2,—,—,—,—,—,—,—,—,6,2
AC Milan,Total,Total,20,9,—,—,—,—,—,—,—,—,20,9
Corinthians,2009,Série A,20,12,10,8,8,3,—,—,—,—,38,23
Corinthians,2010,Série A,11,6,9,3,—,—,7,3,—,—,27,12
Corinthians,2011,Série A,—,—,2,0,—,—,2,0,—,—,4,0
Corinthians,Total,Total,31,18,21,11,8,3,9,3,—,—,69,35
Career total,Career total,Career total,343,247,41,33,35,19,93,49,6,4,518,352
