# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
São Paulo,2001,Série A,27,12,7,1,5,0,16,4,55,17
São Paulo,2002,Série A,22,9,9,6,—,—,17,8,48,23
São Paulo,2003,Série A,10,2,5,0,—,—,7,5,22,7
São Paulo,Total,Total,59,23,21,7,5,0,40,17,125,47
AC Milan,2003–04,Serie A,30,10,4,0,10,4,1,0,45,14
AC Milan,2004–05,Serie A,36,7,1,0,13,2,1,0,51,9
AC Milan,2005–06,Serie A,35,14,2,0,12,5,—,—,49,19
AC Milan,2006–07,Serie A,31,8,2,0,15,10,—,—,48,18
AC Milan,2007–08,Serie A,30,15,0,0,8,2,3,2,41,19
AC Milan,2008–09,Serie A,31,16,1,0,4,0,—,—,36,16
AC Milan,Total,Total,193,70,10,0,62,23,5,2,270,95
Real Madrid,2009–10,La Liga,25,8,1,0,7,1,—,—,33,9
Real Madrid,2010–11,La Liga,14,7,3,0,3,0,—,—,20,7
Real Madrid,2011–12,La Liga,27,5,4,0,8,3,1,0,40,8
Real Madrid,2012–13,La Liga,19,3,2,1,6,1,—,—,27,5
Real Madrid,Total,Total,85,23,10,1,24,5,1,0,120,29
AC Milan,2013–14,Serie A,30,7,1,0,6,2,—,—,37,9
São Paulo,2014,Série A,19,2,0,0,5,1,—,—,24,3
Orlando City SC,2015,Major League Soccer,28,9,2,1,—,—,—,—,30,10
Orlando City SC,2016,Major League Soccer,24,9,0,0,—,—,—,—,24,9
Orlando City SC,2017,Major League Soccer,23,6,1,0,—,—,—,—,24,6
Orlando City SC,Total,Total,75,24,3,1,—,—,—,—,78,25
Career total,Career total,Career total,461,149,44,9,102,31,46,19,654,208
