# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Monaco B,1994–95,CFA,19,6,—,—,—,—,—,—,—,—,19,6
Monaco,1994–95,Division 1,8,3,0,0,0,0,0,0,—,—,8,3
Monaco,1995–96,Division 1,18,3,0,0,3,0,1,0,—,—,22,3
Monaco,1996–97,Division 1,36,9,1,0,2,0,9,1,—,—,48,10
Monaco,1997–98,Division 1,30,4,4,0,1,0,9,7,—,—,44,11
Monaco,1998–99,Division 1,13,1,0,0,1,0,5,0,—,—,19,1
Monaco,Total,Total,105,20,5,0,7,0,24,8,—,—,141,28
Juventus,1998–99,Serie A,16,3,1,0,—,—,0,0,2,0,19,3
Juventus,1999–2000,Serie A,0,0,0,0,—,—,1,0,—,—,1,0
Juventus,Total,Total,16,3,1,0,—,—,1,0,2,0,20,3
Arsenal,1999–2000,Premier League,31,17,3,0,2,1,12,8,—,—,48,26
Arsenal,2000–01,Premier League,35,17,4,1,0,0,14,4,—,—,53,22
Arsenal,2001–02,Premier League,33,24,5,1,0,0,11,7,—,—,49,32
Arsenal,2002–03,Premier League,37,24,5,1,0,0,12,7,1,0,56,32
Arsenal,2003–04,Premier League,37,30,3,3,0,0,10,5,1,1,51,39
Arsenal,2004–05,Premier League,32,25,1,0,0,0,8,5,1,0,42,30
Arsenal,2005–06,Premier League,32,27,0,0,1,1,11,5,1,0,45,33
Arsenal,2006–07,Premier League,17,10,3,1,0,0,7,1,—,—,27,12
Arsenal,Total,Total,254,174,24,7,3,2,85,42,4,1,370,226
Barcelona,2007–08,La Liga,30,12,7,4,—,—,10,3,—,—,47,19
Barcelona,2008–09,La Liga,29,19,1,1,—,—,12,6,—,—,42,26
Barcelona,2009–10,La Liga,21,4,1,0,—,—,6,0,4,0,32,4
Barcelona,Total,Total,80,35,9,5,—,—,28,9,4,0,121,49
New York Red Bulls,2010,Major League Soccer,11,2,0,0,—,—,—,—,1,0,12,2
New York Red Bulls,2011,Major League Soccer,26,14,0,0,—,—,—,—,3,1,29,15
New York Red Bulls,2012,Major League Soccer,25,15,0,0,—,—,—,—,2,0,27,15
New York Red Bulls,2013,Major League Soccer,30,10,0,0,—,—,—,—,2,0,32,10
New York Red Bulls,2014,Major League Soccer,30,10,0,0,—,—,0,0,5,0,35,10
New York Red Bulls,Total,Total,122,51,0,0,—,—,0,0,13,1,135,52
Arsenal (loan),2011–12,Premier League,4,1,2,1,0,0,1,0,—,—,7,2
Career total,Career total,Career total,600,290,41,13,10,2,139,59,23,2,813,366
