# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Groningen,1980–81,Eredivisie,24,4,3,2,—,—,—,—,27,6
Groningen,1981–82,Eredivisie,33,14,1,0,—,—,—,—,34,14
Groningen,1982–83,Eredivisie,33,14,4,0,—,—,—,—,37,14
Groningen,Total,Total,90,32,8,2,—,—,—,—,98,34
Ajax,1983–84,Eredivisie,32,7,4,2,2,0,—,—,38,9
Ajax,1984–85,Eredivisie,30,9,2,1,4,3,—,—,36,13
Ajax,1985–86,Eredivisie,32,7,6,1,2,0,—,—,40,8
Ajax,Total,Total,94,23,12,4,8,3,—,—,114,30
PSV,1986–87,Eredivisie,34,16,3,3,2,0,—,—,39,19
PSV,1987–88,Eredivisie,32,21,6,4,8,1,—,—,46,26
PSV,1988–89,Eredivisie,32,14,6,1,4,2,3,1,45,18
PSV,Total,Total,98,51,15,8,14,3,3,1,130,63
Barcelona,1989–90,La Liga,36,14,7,4,4,1,1,0,48,19
Barcelona,1990–91,La Liga,21,6,4,2,7,4,0,0,32,12
Barcelona,1991–92,La Liga,35,16,2,0,11,1,1,0,49,17
Barcelona,1992–93,La Liga,33,11,3,0,3,0,4,0,43,11
Barcelona,1993–94,La Liga,35,11,2,0,12,8,1,0,50,19
Barcelona,1994–95,La Liga,32,9,1,0,8,1,1,0,42,10
Barcelona,Total,Total,192,67,19,6,45,15,8,0,264,88
Feyenoord,1995–96,Eredivisie,31,10,3,1,7,3,1,0,42,14
Feyenoord,1996–97,Eredivisie,30,9,2,0,5,0,—,—,37,9
Feyenoord,Total,Total,61,19,5,1,12,3,1,0,79,23
Career total,Career total,Career total,535,192,59,21,79,24,12,1,685,238
