# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1977–78,Serie A,1,0,2,0,–,–,–,–,3,0
AC Milan,1978–79,Serie A,30,0,4,0,6,0,–,–,40,0
AC Milan,1979–80,Serie A,28,0,6,0,1,0,–,–,35,0
AC Milan,1980–81,Serie B,31,0,4,1,0,0,–,–,35,1
AC Milan,1981–82,Serie A,18,2,4,0,–,–,3,2,25,4
AC Milan,1982–83,Serie B,30,4,9,2,–,–,–,–,39,6
AC Milan,1983–84,Serie A,21,3,9,2,–,–,–,–,30,5
AC Milan,1984–85,Serie A,26,0,10,0,–,–,–,–,36,0
AC Milan,1985–86,Serie A,20,0,4,0,3,0,3,0,30,0
AC Milan,1986–87,Serie A,29,2,6,3,–,–,–,–,35,5
AC Milan,1987–88,Serie A,27,1,6,0,3,0,–,–,36,1
AC Milan,1988–89,Serie A,33,2,8,2,8,0,1,0,50,4
AC Milan,1989–90,Serie A,30,1,7,4,8,0,1,0,46,5
AC Milan,1990–91,Serie A,31,0,1,0,5,0,1,0,38,0
AC Milan,1991–92,Serie A,33,0,6,1,–,–,–,–,39,1
AC Milan,1992–93,Serie A,29,0,7,0,8,0,1,0,45,0
AC Milan,1993–94,Serie A,31,0,0,0,11,0,2,0,44,0
AC Milan,1994–95,Serie A,28,0,0,0,13,0,2,0,43,0
AC Milan,1995–96,Serie A,30,1,3,0,7,0,–,–,40,1
AC Milan,1996–97,Serie A,26,0,1,0,2,0,1,0,30,0
Career total,Career total,Career total,532,16,97,15,75,0,15,2,719,33
