# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1980–81,Eredivisie,24,4,,,1,1,–,–,25,5
Ajax,1981–82,Eredivisie,27,5,,,0,0,–,–,27,5
Ajax,1982–83,Eredivisie,25,3,8.0,1.0,0,0,–,–,33,4
Ajax,1983–84,Eredivisie,23,9,3.0,1.0,1,0,–,–,27,10
Ajax,1984–85,Eredivisie,34,7,3.0,1.0,4,1,–,–,41,9
Ajax,1985–86,Eredivisie,30,9,6.0,4.0,2,0,–,–,38,13
Ajax,1986–87,Eredivisie,34,7,5.0,0.0,9,2,–,–,48,9
Ajax,1987–88,Eredivisie,8,3,0.0,0.0,1,1,0,0,9,4
Ajax,Total,Total,205,47,25.0,7.0,18,5,0,0,248,59
Sporting CP,1987–88,Primeira Divisão,0,0,0.0,0.0,0,0,0,0,0,0
Zaragoza,1987–88,La Liga,11,0,0.0,0.0,–,–,–,–,11,0
Milan,1988–89,Serie A,31,4,6.0,0.0,9,1,1,1,47,6
Milan,1989–90,Serie A,29,2,6.0,0.0,9,2,3,0,47,4
Milan,1990–91,Serie A,30,3,2.0,0.0,4,0,3,3,39,6
Milan,1991–92,Serie A,30,5,5.0,0.0,–,–,–,–,35,5
Milan,1992–93,Serie A,22,2,5.0,0.0,6,3,0,0,33,5
Milan,Total,Total,142,16,24.0,0.0,28,6,7,4,201,26
Ajax,1993–94,Eredivisie,30,10,4.0,0.0,6,1,1,0,41,11
Ajax,1994–95,Eredivisie,26,2,2.0,0.0,10,0,1,0,39,2
Ajax,Total,Total,56,12,6.0,0.0,16,1,2,0,80,13
Career total,Career total,Career total,414,75,55.0,7.0,62,12,9,4,540,98
