# List of international goals scored by Teófilo Cubillas
No.,Date,Venue,Opponent,Score,Result,Competition
1,8 May 1969,"Bogotá, Colombia",Colombia,2–1,3–1,Friendly
2,9 July 1969,"Lima, Peru",Paraguay,1–0,2–1,Friendly
3,9 July 1969,"Lima, Peru",Paraguay,2–0,2–1,Friendly
4,17 August 1969,"Lima, Peru",Bolivia,2–0,3–0,1970 World Cup qualifier
5,7 February 1970,"Lima, Peru",Czechoslovakia,2–1,2–1,Friendly
6,9 February 1970,"Lima, Peru",Romania,1–1,1–1,Friendly
7,24 February 1970,"Lima, Peru",Bulgaria,1–2,5–3,Friendly
8,2 June 1970,"León, Mexico",Bulgaria,3–2,3–2,1970 World Cup
9,6 June 1970,"León, Mexico",Morocco,1–0,3–0,1970 World Cup
10,6 June 1970,"León, Mexico",Morocco,3–0,3–0,1970 World Cup
11,10 June 1970,"León, Mexico",West Germany,1–3,1–3,1970 World Cup
12,14 June 1970,"Guadalajara, Mexico",Brazil,2–3,2–4,1970 World Cup
13,10 February 1971,"Lima, Peru",South Korea,3–0,4–0,Friendly
14,10 February 1971,"Lima, Peru",South Korea,4–0,4–0,Friendly
15,5 April 1972,"Mexico City, Mexico",Mexico,1–1,1–2,Friendly
16,23 April 1972,"Bucharest, Romania",Romania,1–1,2–2,Friendly
17,4 March 1973,"Lima, Peru",Guatemala,2–0,5–1,Friendly
18,4 March 1973,"Lima, Peru",Guatemala,4–1,5–1,Friendly
19,23 April 1973,"Lima, Peru",Panama,3–0,4–0,Friendly
20,20 August 1975,"Lima, Peru",Chile,2–0,3–1,Copa America 1975
21,30 September 1975,"Belo Horizonte, Brasil",Brazil,2–0,3–1,Copa America 1975
22,17 July 1977,"Cali, Colombia",Bolivia,2–0,5–0,1978 World Cup qualifier
23,17 July 1977,"Cali, Colombia",Bolivia,3–0,5–0,1978 World Cup qualifier
24,3 June 1978,"Córdoba, Argentina",Scotland,2–1,3–1,1978 World Cup
25,3 June 1978,"Córdoba, Argentina",Scotland,3–1,3–1,1978 World Cup
26,11 June 1978,"Córdoba, Argentina",Iran,2–0,4–1,1978 World Cup
27,11 June 1978,"Córdoba, Argentina",Iran,3–0,4–1,1978 World Cup
28,11 June 1978,"Córdoba, Argentina",Iran,4–1,4–1,1978 World Cup
