# List of international goals scored by Marcus Rashford
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,27 May 2016,"Stadium of Light, Sunderland, England",1,Australia,1–0,2–1,Friendly,
2,4 September 2017,"Wembley Stadium, London, England",11,Slovakia,2–1,2–1,2018 FIFA World Cup qualification,
3,7 June 2018,"Elland Road, Leeds, England",19,Costa Rica,1–0,2–0,Friendly,
4,8 September 2018,"Wembley Stadium, London, England",26,Spain,1–0,1–2,2018–19 UEFA Nations League A,
5,11 September 2018,"King Power Stadium, Leicester, England",27,Switzerland,1–0,1–0,Friendly,
6,15 October 2018,"Estadio Benito Villamarín, Seville, Spain",29,Spain,2–0,3–2,2018–19 UEFA Nations League A,
7,6 June 2019,"Estádio D. Afonso Henriques, Guimarães, Portugal",32,Netherlands,1–0,1–3 (a.e.t.),2019 UEFA Nations League Finals,
8,14 October 2019,"Vasil Levski National Stadium, Sofia, Bulgaria",36,Bulgaria,1–0,6–0,UEFA Euro 2020 qualifying,
9,14 November 2019,"Wembley Stadium, London, England",37,Montenegro,4–0,7–0,UEFA Euro 2020 qualifying,
10,17 November 2019,"Fadil Vokrri Stadium, Pristina, Kosovo",38,Kosovo,3–0,4–0,UEFA Euro 2020 qualifying,
11,11 October 2020,"Wembley Stadium, London, England",39,Belgium,1–1,2–1,2020–21 UEFA Nations League A,
12,6 June 2021,"Riverside Stadium, Middlesbrough, England",41,Romania,1–0,1–0,Friendly,
13,21 November 2022,"Khalifa International Stadium, Doha, Qatar",47,Iran,5–1,6–2,2022 FIFA World Cup,
14,29 November 2022,"Ahmad bin Ali Stadium, Al Rayyan, Qatar",49,Wales,1–0,3–0,2022 FIFA World Cup,
15,29 November 2022,"Ahmad bin Ali Stadium, Al Rayyan, Qatar",49,Wales,3–0,3–0,2022 FIFA World Cup,
16,19 June 2023,"Old Trafford, Manchester, England",53,North Macedonia,3–0,7–0,UEFA Euro 2024 qualifying,
17,17 October 2023,"Wembley Stadium, London, England",57,Italy,2–1,3–1,UEFA Euro 2024 qualifying,
18,9 September 2025,"Red Star Stadium, Belgrade, Serbia",64,Serbia,5–0,5–0,2026 FIFA World Cup qualification,
