# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cerezo Osaka,2006,J.League Division 1,0,0,0,0,0,0,—,—,—,—,0,0
Cerezo Osaka,2007,J.League Division 2,35,5,1,2,—,—,—,—,—,—,36,7
Cerezo Osaka,2008,J.League Division 2,35,16,0,0,—,—,—,—,—,—,35,16
Cerezo Osaka,2009,J.League Division 2,44,27,0,0,—,—,—,—,—,—,44,27
Cerezo Osaka,2010,J.League Division 1,11,7,—,—,1,0,—,—,—,—,12,7
Cerezo Osaka,Total,Total,125,55,1,2,1,0,—,—,—,—,127,57
Borussia Dortmund,2010–11,Bundesliga,18,8,2,0,—,—,8,4,—,—,28,12
Borussia Dortmund,2011–12,Bundesliga,31,13,5,3,—,—,6,1,1,0,43,17
Borussia Dortmund,Total,Total,49,21,7,3,—,—,14,5,1,0,71,29
Manchester United,2012–13,Premier League,20,6,3,0,0,0,3,0,—,—,26,6
Manchester United,2013–14,Premier League,18,0,1,0,2,0,8,0,1,0,30,0
Manchester United,2014–15,Premier League,0,0,0,0,1,0,—,—,—,—,1,0
Manchester United,Total,Total,38,6,4,0,3,0,11,0,1,0,57,6
Borussia Dortmund,2014–15,Bundesliga,28,5,5,1,—,—,5,0,—,—,38,6
Borussia Dortmund,2015–16,Bundesliga,29,9,5,1,—,—,12,3,—,—,46,13
Borussia Dortmund,2016–17,Bundesliga,21,1,3,2,—,—,5,3,1,0,30,6
Borussia Dortmund,2017–18,Bundesliga,19,5,3,1,—,—,5,0,0,0,27,6
Borussia Dortmund,2018–19,Bundesliga,2,0,1,0,—,—,1,0,0,0,4,0
Borussia Dortmund,Total,Total,99,20,17,5,—,—,28,6,1,0,145,31
Borussia Dortmund II,2018–19,Regionalliga,1,0,—,—,—,—,—,—,—,—,1,0
Beşiktaş (loan),2018–19,Süper Lig,14,4,0,0,—,—,0,0,—,—,14,4
Zaragoza,2019–20,Segunda División,31,4,3,0,—,—,—,—,2,0,36,4
PAOK,2020–21,Super League Greece,5,0,3,0,—,—,—,—,—,—,8,0
PAOK,2021–22,Super League Greece,1,0,0,0,—,—,3,0,—,—,4,0
PAOK,Total,Total,6,0,3,0,—,—,3,0,0,0,12,0
Sint-Truidense,2021–22,Belgian Pro League,6,0,0,0,—,—,—,—,—,—,6,0
Sint-Truidense,2022–23,Belgian Pro League,12,2,0,0,—,—,—,—,—,—,12,2
Sint-Truidense,Total,Total,18,2,0,0,—,—,—,—,—,—,18,2
Cerezo Osaka,2023,J1 League,34,2,1,0,4,0,—,—,—,—,39,2
Cerezo Osaka,2024,J1 League,10,1,1,0,2,0,—,—,—,—,13,1
Cerezo Osaka,2025,J1 League,22,2,0,0,5,2,—,—,—,—,27,4
Cerezo Osaka,Total,Total,66,5,2,0,11,2,—,—,—,—,79,7
Career total,Career total,Career total,447,117,37,10,15,2,56,11,5,0,560,140
