# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Mallorca B,2013–14,Tercera División,14,3,—,—,—,—,—,—,14,3
Mallorca (loan),2013–14,Segunda División,20,1,0,0,—,—,—,—,20,1
Mallorca (loan),2014–15,Segunda División,36,6,0,0,—,—,—,—,36,6
Mallorca (loan),Total,Total,56,7,0,0,—,—,—,—,56,7
Espanyol (loan),2015–16,La Liga,34,4,3,0,—,—,—,—,37,4
Real Madrid,2016–17,La Liga,23,3,6,3,8,3,1,1,38,10
Real Madrid,2017–18,La Liga,32,6,5,2,12,1,4,2,53,11
Real Madrid,2018–19,La Liga,30,1,5,3,7,2,2,0,44,6
Real Madrid,2019–20,La Liga,9,3,0,0,1,0,0,0,10,3
Real Madrid,2020–21,La Liga,35,5,1,0,11,2,1,0,48,7
Real Madrid,2021–22,La Liga,31,10,2,1,8,1,1,0,42,12
Real Madrid,2022–23,La Liga,31,9,5,0,12,3,3,0,51,12
Real Madrid,Total,Total,191,37,24,9,59,12,12,3,286,61
Paris Saint-Germain,2023–24,Ligue 1,19,4,5,1,6,0,1,0,31,5
Paris Saint-Germain,2024–25,Ligue 1,12,2,0,0,4,0,0,0,16,2
Paris Saint-Germain,Total,Total,31,6,5,1,10,0,1,0,47,7
Aston Villa (loan),2024–25,Premier League,13,3,4,2,4,3,—,—,21,8
Fenerbahçe,2025–26,Süper Lig,2,1,0,0,1,0,—,—,3,1
Career total,Career total,Career total,341,61,36,12,74,15,13,3,464,91
