# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Clausenengen,1990,Norwegian Third Division Group E,,,,,—,—,—,—,—,—,,
Clausenengen,1991,Norwegian Third Division Group M,,,,,—,—,—,—,—,—,,
Clausenengen,1992,Norwegian Third Division Group M,,,,,—,—,—,—,—,—,,
Clausenengen,1993,Norwegian Third Division Group M,,,,,—,—,—,—,—,—,,
Clausenengen,1994,Norwegian Second Division Group 5,,,,,—,—,—,—,—,—,,
Clausenengen,Total,Total,109.0,115.0,,,—,—,—,—,—,—,109.0,115.0
Molde,1995,Tippeligaen,26.0,20.0,4,6,—,—,4,3,—,—,34.0,29.0
Molde,1996,Tippeligaen,16.0,11.0,4,1,—,—,—,—,—,—,20.0,12.0
Molde,Total,Total,42.0,31.0,8,7,—,—,4,3,—,—,54.0,41.0
Manchester United,1996–97,Premier League,33.0,18.0,3,0,0,0,10,1,0,0,46.0,19.0
Manchester United,1997–98,Premier League,22.0,6.0,2,2,0,0,6,1,0,0,30.0,9.0
Manchester United,1998–99,Premier League,19.0,12.0,8,1,3,3,6,2,1,0,37.0,18.0
Manchester United,1999–2000,Premier League,28.0,12.0,—,—,1,0,11,3,6,0,46.0,15.0
Manchester United,2000–01,Premier League,31.0,10.0,2,1,2,2,11,0,1,0,47.0,13.0
Manchester United,2001–02,Premier League,30.0,17.0,2,1,0,0,15,7,0,0,47.0,25.0
Manchester United,2002–03,Premier League,37.0,9.0,2,1,4,1,14,4,—,—,57.0,15.0
Manchester United,2003–04,Premier League,13.0,0.0,3,0,0,0,2,1,1,0,19.0,1.0
Manchester United,2004–05,Premier League,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
Manchester United,2005–06,Premier League,3.0,0.0,2,0,0,0,0,0,—,—,5.0,0.0
Manchester United,2006–07,Premier League,19.0,7.0,6,2,1,1,6,1,—,—,32.0,11.0
Manchester United,Total,Total,235.0,91.0,30,8,11,7,81,20,9,0,366.0,126.0
Career total,Career total,Career total,386.0,237.0,38,15,11,7,85,23,9,0,529.0,282.0
