# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cobreloa,2005,Chilean Primera División,35,3,0,0,—,—,3,0,—,—,38,3
Cobreloa,2006,Chilean Primera División,12,9,0,0,—,—,—,—,—,—,12,9
Cobreloa,Total,Total,47,12,0,0,0,0,3,0,0,0,50,12
Colo-Colo,2006,Chilean Primera División,18,4,0,0,—,—,10,1,—,—,28,5
Colo-Colo,2007,Chilean Primera División,14,1,0,0,—,—,7,3,—,—,21,4
Colo-Colo,Total,Total,32,5,0,0,0,0,17,4,0,0,49,9
River Plate,2007–08,Argentine Primera División,23,4,0,0,—,—,8,0,—,—,31,4
Udinese,2008–09,Serie A,32,3,2,0,—,—,9,0,—,—,43,3
Udinese,2009–10,Serie A,32,5,4,1,—,—,—,—,—,—,36,6
Udinese,2010–11,Serie A,31,12,2,0,—,—,—,—,—,—,33,12
Udinese,Total,Total,95,20,8,1,—,—,9,0,—,—,112,21
Barcelona,2011–12,La Liga,25,12,7,1,—,—,6,2,3,0,41,15
Barcelona,2012–13,La Liga,29,8,6,2,—,—,9,1,2,0,46,11
Barcelona,2013–14,La Liga,34,19,9,2,—,—,9,0,2,0,54,21
Barcelona,Total,Total,88,39,22,5,—,—,24,3,7,0,141,47
Arsenal,2014–15,Premier League,35,16,6,4,1,1,9,4,1,0,52,25
Arsenal,2015–16,Premier League,30,13,3,1,1,0,7,3,0,0,41,17
Arsenal,2016–17,Premier League,38,24,5,3,0,0,8,3,—,—,51,30
Arsenal,2017–18,Premier League,19,7,0,0,2,0,1,1,0,0,22,8
Arsenal,Total,Total,122,60,14,8,4,1,25,11,1,0,166,80
Manchester United,2017–18,Premier League,12,2,4,1,—,—,2,0,—,—,18,3
Manchester United,2018–19,Premier League,20,1,3,1,0,0,4,0,—,—,27,2
Manchester United,Total,Total,32,3,7,2,0,0,6,0,—,—,45,5
Inter Milan (loan),2019–20,Serie A,22,4,4,0,—,—,6,0,—,—,32,4
Inter Milan,2020–21,Serie A,30,7,3,0,—,—,5,0,—,—,38,7
Inter Milan,2021–22,Serie A,27,5,5,2,—,—,6,1,1,1,39,9
Inter Milan,Total,Total,79,16,12,2,—,—,17,1,1,1,109,20
Marseille,2022–23,Ligue 1,35,14,4,2,—,—,5,2,—,—,44,18
Inter Milan,2023–24,Serie A,23,2,0,0,—,—,8,2,2,0,33,4
Udinese,2024–25,Serie A,13,0,1,0,—,—,—,—,—,—,14,0
Sevilla,2025–26,La Liga,3,1,0,0,—,—,—,—,—,—,3,1
Career total,Career total,Career total,592,176,68,20,4,1,122,23,11,1,797,221
