# List of international goals scored by Kaká
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,7 March 2002,"Arena Pantanal, Cuiabá, Brazil",Iceland,3–0,6–1,Friendly,
2,19 July 2003,"Miami Orange Bowl, Miami, United States",Colombia,1–0,2–0,2003 CONCACAF Gold Cup,
3,19 July 2003,"Miami Orange Bowl, Miami, United States",Colombia,2–0,2–0,2003 CONCACAF Gold Cup,
4,23 July 2003,"Miami Orange Bowl, Miami, United States",United States,1–1,2–1,2003 CONCACAF Gold Cup,
5,7 September 2003,"Estadio Metropolitano, Barranquilla, Colombia",Colombia,2–1,2–1,2006 FIFA World Cup qualification,
6,19 November 2003,"Arena da Baixada, Curitiba, Brazil",Uruguay,1–0,3–3,2006 FIFA World Cup qualification,
7,28 April 2004,"Ferenc Puskás Stadium, Budapest, Hungary",Hungary,1–0,4–1,Friendly,
8,9 October 2004,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,1–0,5–2,2006 FIFA World Cup qualification,
9,9 October 2004,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,2–0,5–2,2006 FIFA World Cup qualification,
10,27 March 2005,"Estádio Serra Dourada, Goiânia, Brazil",Peru,1–0,1–0,2006 FIFA World Cup qualification,
11,29 June 2005,"Waldstadion, Frankfurt, Germany",Argentina,2–0,4–1,2005 FIFA Confederations Cup,
12,12 November 2005,"Zayed Sports City Stadium, Abu Dhabi, United Arab Emirates",United Arab Emirates,1–0,8–0,Friendly,
13,4 June 2006,"Stade de Genève, Lancy, Switzerland",New Zealand,3–0,4–0,Friendly,
14,13 June 2006,"Olympiastadion, Berlin, Germany",Croatia,1–0,1–0,2006 FIFA World Cup,
15,3 September 2006,"Emirates Stadium, London, England",Argentina,3–0,3–0,Friendly,
16,10 October 2006,"Råsunda Stadium, Stockholm, Sweden",Ecuador,2–1,2–1,Friendly,
17,15 November 2006,"St. Jakob-Park, Basel, Switzerland",Switzerland,2–0,2–1,Friendly,
18,24 March 2007,"Ullevi, Gothenburg, Sweden",Chile,2–0,4–0,Friendly,
19,12 September 2007,"Gillette Stadium, Foxborough, United States",Mexico,2–1,3–1,Friendly,
20,17 October 2007,"Maracanã Stadium, Rio de Janeiro, Brazil",Ecuador,3–0,5–0,2010 FIFA World Cup qualification,
21,17 October 2007,"Maracanã Stadium, Rio de Janeiro, Brazil",Ecuador,5–0,5–0,2010 FIFA World Cup qualification,
22,18 November 2007,"Estadio Monumental, Lima, Peru",Peru,1–0,1–1,2010 FIFA World Cup qualification,
23,12 October 2008,"Estadio Polideportivo de Pueblo Nuevo, San Cristóbal, Venezuela",Venezuela,1–0,4–0,2010 FIFA World Cup qualification,
24,6 June 2009,"Estadio Centenario, Montevideo, Uruguay",Uruguay,4–0,4–0,2010 FIFA World Cup qualification,
25,15 June 2009,"Free State Stadium, Bloemfontein, SOuth Africa",Egypt,1–0,4–3,2009 FIFA Confederations Cup,
26,15 June 2009,"Free State Stadium, Bloemfontein, SOuth Africa",Egypt,4–3,4–3,2009 FIFA Confederations Cup,
27,7 June 2010,"Benjamin Mkapa Stadium, Dar es Salaam, Tanzania",Tanzania,4–0,5–1,Friendly,
28,11 October 2012,"Swedbank Stadion, Malmö, Sweden",Iraq,3–0,6–0,Friendly,
29,16 October 2012,"Wrocław Stadium, Wrocław, Poland",Japan,4–0,4–0,Friendly,
