# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Guadalajara,2006–07,Mexican Primera División,8,1,—,—,—,—,2,0,—,—,10,1
Guadalajara,2007–08,Mexican Primera División,6,0,—,—,—,—,5,0,—,—,11,0
Guadalajara,2008–09,Mexican Primera División,22,4,3,0,—,—,6,3,—,—,31,7
Guadalajara,2009–10,Mexican Primera División,28,21,—,—,—,—,0,0,—,—,28,21
Guadalajara,Total,Total,64,26,3,0,—,—,13,3,—,—,80,29
Manchester United,2010–11,Premier League,27,13,5,1,3,1,9,4,1,1,45,20
Manchester United,2011–12,Premier League,28,10,1,0,0,0,7,2,0,0,36,12
Manchester United,2012–13,Premier League,22,10,6,4,2,1,6,3,—,—,36,18
Manchester United,2013–14,Premier League,24,4,1,1,5,4,5,0,0,0,35,9
Manchester United,2014–15,Premier League,1,0,—,—,1,0,—,—,—,—,2,0
Manchester United,2015–16,Premier League,1,0,—,—,—,—,2,0,—,—,3,0
Manchester United,Total,Total,103,37,13,6,11,6,29,9,1,1,157,59
Real Madrid (loan),2014–15,La Liga,23,7,2,1,—,—,8,1,—,—,33,9
Real Madrid (loan),Total,Total,23,7,2,1,—,—,8,1,—,—,33,9
Bayer Leverkusen,2015–16,Bundesliga,28,17,3,4,—,—,9,5,—,—,40,26
Bayer Leverkusen,2016–17,Bundesliga,26,11,2,1,—,—,8,1,—,—,36,13
Bayer Leverkusen,Total,Total,54,28,5,5,—,—,17,6,—,—,76,39
West Ham United,2017–18,Premier League,28,8,2,0,3,0,—,—,—,—,33,8
West Ham United,2018–19,Premier League,25,7,1,0,2,1,—,—,—,—,28,8
West Ham United,2019–20,Premier League,2,1,—,—,—,—,—,—,—,—,2,1
West Ham United,Total,Total,55,16,3,0,5,1,—,—,—,—,63,17
Sevilla,2019–20,La Liga,9,1,2,0,—,—,4,2,—,—,15,3
Sevilla,Total,Total,9,1,2,0,—,—,4,2,—,—,15,3
LA Galaxy,2020,MLS,12,2,—,—,—,—,—,—,—,—,12,2
LA Galaxy,2021,MLS,21,17,—,—,—,—,—,—,—,—,21,17
LA Galaxy,2022,MLS,32,18,3,1,—,—,—,—,2,0,37,19
LA Galaxy,2023,MLS,9,1,3,0,—,—,—,—,—,—,12,1
LA Galaxy,Total,Total,74,38,6,1,—,—,—,—,2,0,82,39
Guadalajara,2023–24,Liga MX,10,1,—,—,—,—,2,0,0,0,12,1
Guadalajara,2024–25,Liga MX,15,1,—,—,—,—,4,1,0,0,19,2
Guadalajara,Total,Total,25,2,—,—,—,—,6,1,—,—,31,3
Career total,Career total,Career total,407,155,34,13,16,7,77,22,3,1,537,198
