# Appearances and goals by club, season and competition
Club,Season,Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
Chelsea,1973–74,First Division,6,0,1,0,0,0,7,0
Chelsea,1974–75,First Division,21,2,2,0,1,0,24,2
Chelsea,1975–76,Second Division,42,11,4,1,4,0,50,12
Chelsea,1976–77,Second Division,42,7,2,0,6,2,50,9
Chelsea,1977–78,First Division,33,7,3,1,4,1,40,9
Chelsea,1978–79,First Division,35,3,0,0,1,0,36,3
Chelsea,Total,Total,179,30,12,2,16,3,207,35
Manchester United,1979–80,First Division,37,2,2,0,3,0,42,2
Manchester United,1980–81,First Division,13,0,2,0,0,0,15,0
Manchester United,1981–82,First Division,42,1,1,0,2,0,45,1
Manchester United,1982–83,First Division,26,1,4,1,6,0,36,2
Manchester United,1983–84,First Division,42,3,1,0,13,2,56,5
Manchester United,Total,Total,160,7,10,1,24,2,194,10
Milan,1984–85,Serie A,28,0,12,0,0,0,40,0
Milan,1985–86,Serie A,29,2,6,1,6,0,41,3
Milan,1986–87,Serie A,16,0,7,0,1,0,24,0
Milan,Total,Total,73,2,25,1,7,0,105,3
Paris Saint-Germain,1987–88,French Division 1,13,0,0,0,0,0,13,0
Rangers,1987–88,Scottish Premier Division,24,1,3,0,2,0,29,1
Rangers,1988–89,Scottish Premier Division,31,1,6,0,8,2,45,3
Rangers,1989–90,Scottish Premier Division,15,0,0,0,7,0,22,0
Rangers,Total,Total,70,2,9,0,17,2,96,4
Queens Park Rangers,1989–90,First Division,23,1,9,2,0,0,32,3
Queens Park Rangers,1990–91,First Division,38,2,1,0,5,0,44,2
Queens Park Rangers,1991–92,First Division,27,1,1,0,2,1,30,2
Queens Park Rangers,1992–93,Premier League,27,2,1,0,4,0,32,2
Queens Park Rangers,1993–94,Premier League,39,1,1,0,4,0,44,1
Queens Park Rangers,Total,Total,154,7,13,2,15,1,182,10
Crystal Palace,1994–95,Premier League,1,0,0,0,0,0,1,0
Queens Park Rangers,1994–95,Premier League,2,0,0,0,0,0,2,0
Queens Park Rangers,1995–96,Premier League,15,0,1,0,3,0,19,0
Queens Park Rangers,1996–97,First Division,4,0,0,0,0,0,4,0
Queens Park Rangers,Total,Total,21,0,1,0,3,0,25,0
Wycombe Wanderers,1996–97,Second Division,1,0,0,0,0,0,1,0
Hibernian,1996–97,Scottish Premier Division,16,0,0,0,1,0,17,0
Millwall,1996–97,Second Division,3,0,0,0,1,0,4,0
Leyton Orient,1996–97,Third Division,3,0,0,0,0,0,3,0
Career total,Career total,Career total,694,48,70,6,84,8,848,62
