# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Red Star Belgrade,2000–01,First League of FR Yugoslavia,0,0,0,0,—,—,0,0,—,—,0,0
Red Star Belgrade,2001–02,First League of FR Yugoslavia,22,2,5,0,—,—,2,0,—,—,29,2
Red Star Belgrade,2002–03,First League of Serbia and Montenegro,25,5,4,1,—,—,6,0,—,—,35,6
Red Star Belgrade,2003–04,First League of Serbia and Montenegro,20,5,5,0,—,—,6,3,—,—,31,8
Red Star Belgrade,Total,Total,67,12,14,1,—,—,14,3,—,—,95,16
Spartak Subotica (loan),2000–01,Second League of FR Yugoslavia,27,6,0,0,—,—,—,—,—,—,27,6
Spartak Moscow,2004,Russian Premier League,12,2,1,0,—,—,0,0,—,—,13,2
Spartak Moscow,2005,Russian Premier League,27,2,1,0,—,—,0,0,—,—,28,2
Spartak Moscow,Total,Total,39,4,2,0,—,—,0,0,—,—,41,4
Manchester United,2005–06,Premier League,11,0,2,0,2,0,0,0,0,0,15,0
Manchester United,2006–07,Premier League,25,3,5,0,0,0,8,1,0,0,38,4
Manchester United,2007–08,Premier League,32,1,3,0,0,0,9,0,1,0,45,1
Manchester United,2008–09,Premier League,34,4,4,0,4,0,9,1,4,2,55,7
Manchester United,2009–10,Premier League,24,1,0,0,2,0,7,0,0,0,33,1
Manchester United,2010–11,Premier League,35,5,2,0,0,0,9,0,1,0,47,5
Manchester United,2011–12,Premier League,6,0,0,0,1,0,2,0,1,0,10,0
Manchester United,2012–13,Premier League,22,1,2,0,0,0,2,0,—,—,26,1
Manchester United,2013–14,Premier League,25,0,0,0,2,1,6,1,1,0,34,2
Manchester United,Total,Total,211,15,18,0,11,1,52,3,8,2,300,21
Inter Milan,2014–15,Serie A,23,1,0,0,—,—,5,0,—,—,28,1
Inter Milan,2015–16,Serie A,0,0,0,0,—,—,—,—,—,—,0,0
Inter Milan,Total,Total,23,1,0,0,—,—,5,0,—,—,28,1
Career total,Career total,Career total,367,38,34,1,11,1,71,6,8,2,491,48
