# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2007–08,Regionalliga Süd,3,1,—,—,—,—,—,—,3,1
Bayern Munich II,2008–09,3. Liga,32,15,—,—,—,—,—,—,32,15
Bayern Munich II,Total,Total,35,16,—,—,—,—,—,—,35,16
Bayern Munich,2008–09,Bundesliga,4,0,0,0,1,1,—,—,5,1
Bayern Munich,2009–10,Bundesliga,34,13,6,4,12,2,—,—,52,19
Bayern Munich,2010–11,Bundesliga,34,12,5,3,8,3,1,1,48,19
Bayern Munich,2011–12,Bundesliga,34,7,5,2,14,2,—,—,53,11
Bayern Munich,2012–13,Bundesliga,28,13,5,1,13,8,1,1,47,23
Bayern Munich,2013–14,Bundesliga,31,13,5,8,12,5,3,0,51,26
Bayern Munich,2014–15,Bundesliga,32,13,5,1,10,7,1,0,48,21
Bayern Munich,2015–16,Bundesliga,31,20,5,4,12,8,1,0,49,32
Bayern Munich,2016–17,Bundesliga,29,5,3,0,9,3,1,1,42,9
Bayern Munich,2017–18,Bundesliga,29,8,5,4,10,3,1,0,45,15
Bayern Munich,2018–19,Bundesliga,32,6,6,3,6,0,1,0,45,9
Bayern Munich,2019–20,Bundesliga,33,8,6,2,10,4,1,0,50,14
Bayern Munich,2020–21,Bundesliga,32,11,2,1,9,2,3,1,46,15
Bayern Munich,2021–22,Bundesliga,32,8,2,0,10,4,1,1,45,13
Bayern Munich,2022–23,Bundesliga,27,7,4,0,8,1,1,0,40,8
Bayern Munich,2023–24,Bundesliga,31,5,1,1,9,1,0,0,41,7
Bayern Munich,2024–25,Bundesliga,30,1,2,2,12,3,5,2,49,8
Bayern Munich,Total,Total,503,150,67,36,165,57,21,7,756,250
Vancouver Whitecaps,2025,MLS,3,4,0,0,—,—,0,0,3,4
Career total,Career total,Career total,541,170,67,36,165,57,21,7,794,270
