# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Austria Wien,1982–83,Austrian Bundesliga,26,11,1,2,8,5,—,—,35,18
Austria Wien,1983–84,Austrian Bundesliga,23,13,8,10,8,1,—,—,39,24
Austria Wien,1984–85,Austrian Bundesliga,29,24,6,9,6,3,—,—,41,36
Austria Wien,1985–86,Austrian Bundesliga,34,32,4,4,4,4,—,—,42,40
Austria Wien,1986–87,Austrian Bundesliga,34,39,4,4,4,3,1,1,43,47
Austria Wien,Total,Total,146,119,23,29,30,16,1,1,200,165
Torino,1987–88,Serie A,27,9,12,5,—,—,1,0,40,14
Sevilla,1988–89,La Liga,32,9,—,—,—,—,—,—,32,9
Sevilla,1989–90,La Liga,35,33,—,—,—,—,—,—,35,33
Sevilla,1990–91,La Liga,35,13,4,1,4,1,—,—,43,15
Sevilla,Total,Total,102,55,4,1,4,1,—,—,110,57
Logroñés,1991–92,La Liga,38,14,7,7,—,—,—,—,45,21
Rayo Vallecano,1992–93,La Liga,31,14,0,0,—,—,—,—,31,14
1. FC Köln,1993–94,Bundesliga,25,17,1,2,—,—,—,—,26,19
1. FC Köln,1994–95,Bundesliga,32,17,5,2,—,—,—,—,37,19
1. FC Köln,1995–96,Bundesliga,28,11,1,0,4,3,—,—,33,14
1. FC Köln,1996–97,Bundesliga,32,21,1,0,—,—,—,—,33,21
1. FC Köln,1997–98,Bundesliga,33,13,1,0,5,2,—,—,39,15
1. FC Köln,Total,Total,150,79,9,4,9,5,—,—,168,88
Borussia Mönchengladbach,1998–99,Bundesliga,31,11,4,3,—,—,—,—,35,14
Borussia Mönchengladbach,1999–2000,2. Bundesliga,7,4,1,0,—,—,—,—,8,4
Borussia Mönchengladbach,Total,Total,38,15,5,3,—,—,—,—,43,18
Austria Salzburg,1999–2000,Austrian Bundesliga,12,2,4,3,—,—,—,—,16,5
Career total,Career total,Career total,544,307,64,52,43,22,2,1,653,382
