# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Como,1994–95,Serie B,1,0,0,0,–,–,–,–,1,0
Como,1995–96,Serie C1,14,2,1,0,–,–,–,–,15,2
Como,1996–97,Serie C1,33,4,1,0,–,–,–,–,34,4
Como,Total,Total,48,6,2,0,–,–,–,–,50,6
Bari,1997–98,Serie A,27,2,2,2,–,–,–,–,29,4
Bari,1998–99,Serie A,32,4,4,0,–,–,–,–,36,4
Bari,Total,Total,59,6,6,2,–,–,–,–,65,8
Juventus,1999–2000,Serie A,32,1,2,0,12,2,–,–,45,3
Juventus,2000–01,Serie A,29,3,0,0,0,0,–,–,29,3
Juventus,2001–02,Serie A,32,1,6,1,9,0,–,–,47,2
Juventus,2002–03,Serie A,26,1,3,0,13,0,0,0,42,1
Juventus,2003–04,Serie A,30,1,6,0,5,0,1,0,42,1
Juventus,2004–05,Serie A,36,0,0,0,12,0,–,–,48,0
Juventus,2005–06,Serie A,32,0,2,0,8,0,1,0,43,0
Juventus,Total,Total,217,7,19,1,59,2,2,0,296,10
Barcelona,2006–07,La Liga,29,3,5,0,6,0,2,0,42,3
Barcelona,2007–08,La Liga,29,0,5,0,6,0,–,–,40,0
Barcelona,Total,Total,58,3,10,0,12,0,2,0,82,3
AC Milan,2008–09,Serie A,34,1,1,0,6,0,–,–,41,1
AC Milan,2009–10,Serie A,24,0,1,0,5,0,–,–,30,0
AC Milan,2010–11,Serie A,15,0,1,0,5,0,–,–,21,0
AC Milan,2011–12,Serie A,7,1,1,0,3,0,1,0,12,1
AC Milan,Total,Total,80,2,4,0,19,0,1,0,104,2
Career total,Career total,Career total,459,24,41,3,88,2,5,0,592,29
