# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Zenit,2000,Russian Top Division,10,0,1,0,—,—,3,0,—,—,14,0
Zenit,2001,Russian Top Division,29,4,2,0,—,—,—,—,—,—,31,4
Zenit,2002,Russian Premier League,30,4,3,1,—,—,4,2,—,—,37,7
Zenit,2003,Russian Premier League,27,5,2,0,—,—,—,—,—,—,29,5
Zenit,2004,Russian Premier League,28,6,1,0,—,—,8,4,—,—,37,10
Zenit,2005,Russian Premier League,29,9,4,2,—,—,8,3,—,—,41,14
Zenit,2006,Russian Premier League,28,7,4,0,—,—,5,2,—,—,37,9
Zenit,2007,Russian Premier League,30,10,5,1,—,—,6,2,—,—,41,13
Zenit,2008,Russian Premier League,27,6,0,0,—,—,14,2,2,1,43,9
Zenit,Total,Total,238,51,21,4,—,—,49,15,2,1,310,71
Arsenal,2008–09,Premier League,12,6,3,0,0,0,—,—,—,—,15,6
Arsenal,2009–10,Premier League,30,10,1,0,0,0,8,2,—,—,39,12
Arsenal,2010–11,Premier League,37,6,5,0,4,1,6,3,—,—,52,10
Arsenal,2011–12,Premier League,19,1,1,0,2,1,5,0,—,—,27,2
Arsenal,2012–13,Premier League,7,0,0,0,2,1,2,0,—,—,11,1
Arsenal,Total,Total,105,23,10,0,8,3,21,5,—,—,144,31
Zenit (loan),2011–12,Russian Premier League,10,3,1,0,—,—,—,—,—,—,11,3
Zenit,2013–14,Russian Premier League,21,2,1,0,—,—,11,2,1,0,34,4
Zenit,2014–15,Russian Premier League,14,1,2,1,—,—,5,0,—,—,21,2
Zenit,Total,Total,45,6,4,1,—,—,16,2,1,0,66,9
Kuban Krasnodar,2015–16,Russian Premier League,8,0,1,0,—,—,—,—,—,—,9,0
Kairat,2016,Kazakhstan Premier League,28,8,5,1,—,—,4,2,—,—,37,11
Kairat,2017,Kazakhstan Premier League,25,7,4,1,—,—,4,2,1,0,34,10
Kairat,2018,Kazakhstan Premier League,31,9,0,0,—,—,5,0,1,0,37,9
Kairat,Total,Total,84,24,9,2,—,—,13,5,2,0,108,30
Career total,Career total,Career total,480,104,45,7,8,3,99,26,5,1,637,141
