# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Milton Keynes Dons,2011–12,League One,0,0,0,0,0,0,—,—,0,0,0,0
Milton Keynes Dons,2012–13,League One,2,0,5,1,0,0,—,—,0,0,7,1
Milton Keynes Dons,2013–14,League One,33,6,1,0,2,0,—,—,1,1,37,7
Milton Keynes Dons,2014–15,League One,39,16,1,0,4,0,—,—,0,0,44,16
Milton Keynes Dons,Total,Total,74,22,7,1,6,0,—,—,1,1,88,24
Tottenham Hotspur,2015–16,Premier League,33,10,3,0,1,0,9,0,—,—,46,10
Tottenham Hotspur,2016–17,Premier League,37,18,5,3,0,0,8,1,—,—,50,22
Tottenham Hotspur,2017–18,Premier League,36,9,7,1,2,2,5,2,—,—,50,14
Tottenham Hotspur,2018–19,Premier League,25,5,1,0,4,2,8,0,—,—,38,7
Tottenham Hotspur,2019–20,Premier League,25,8,5,0,1,0,7,1,—,—,38,9
Tottenham Hotspur,2020–21,Premier League,15,0,2,0,2,0,10,3,—,—,29,3
Tottenham Hotspur,2021–22,Premier League,10,1,1,0,2,0,5,1,—,—,18,2
Tottenham Hotspur,Total,Total,181,51,24,4,12,4,52,8,—,—,269,67
Everton,2021–22,Premier League,11,0,—,—,—,—,—,—,—,—,11,0
Everton,2022–23,Premier League,2,0,0,0,0,0,—,—,—,—,2,0
Everton,2023–24,Premier League,0,0,0,0,0,0,—,—,—,—,0,0
Everton,Total,Total,13,0,0,0,0,0,—,—,—,—,13,0
Beşiktaş (loan),2022–23,Süper Lig,13,2,2,1,—,—,—,—,—,—,15,3
Como,2024–25,Serie A,1,0,—,—,—,—,—,—,—,—,1,0
Career total,Career total,Career total,282,75,33,6,18,4,52,8,1,1,386,94
