# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Beerschot AC,2008–09,Belgian First Division,1,0,–,–,–,–,–,–,–,–,1,0
Beerschot AC,2009–10,Belgian Pro League,20,0,1,0,–,–,–,–,–,–,21,0
Beerschot AC,2010–11,Belgian Pro League,30,2,4,0,–,–,–,–,–,–,34,2
Beerschot AC,Total,Total,51,2,5,0,–,–,–,–,–,–,56,2
Celtic,2011–12,Scottish Premier League,29,4,4,0,4,0,5,0,–,–,42,4
Celtic,2012–13,Scottish Premier League,32,6,5,1,2,0,10,2,–,–,49,9
Celtic,Total,Total,61,10,9,1,6,0,15,2,–,–,91,13
Southampton,2013–14,Premier League,23,0,1,0,0,0,–,–,–,–,24,0
Southampton,2014–15,Premier League,32,3,2,0,4,0,–,–,–,–,38,3
Southampton,2015–16,Premier League,30,1,0,0,2,0,3,0,–,–,35,1
Southampton,Total,Total,85,4,3,0,6,0,3,0,–,–,97,4
Tottenham Hotspur,2016–17,Premier League,36,4,3,0,1,0,7,1,–,–,47,5
Tottenham Hotspur,2017–18,Premier League,18,1,5,0,0,0,1,0,–,–,24,1
Tottenham Hotspur,2018–19,Premier League,13,1,1,0,2,0,6,0,–,–,22,1
Tottenham Hotspur,2019–20,Premier League,2,0,0,0,1,0,1,0,–,–,4,0
Tottenham Hotspur,Total,Total,69,6,9,0,4,0,15,1,–,–,97,7
CF Montréal,2020,Major League Soccer,21,2,–,–,–,–,2,0,1,0,24,2
CF Montréal,2021,Major League Soccer,27,2,1,0,–,–,–,–,–,–,28,2
CF Montréal,2022,Major League Soccer,32,1,0,0,2,0,4,0,–,–,38,1
CF Montréal,2023,Major League Soccer,25,0,2,0,–,–,–,–,1,0,28,0
CF Montréal,2024,Major League Soccer,12,0,2,1,0,0,–,–,1,0,15,1
CF Montréal,Total,Total,117,5,5,1,2,0,6,0,3,0,133,6
Dunfermline Athletic,2024–25,Scottish Championship,2,0,–,–,–,–,–,–,0,0,2,0
Career total,Career total,Career total,385,27,31,2,18,0,39,4,2,0,476,32
