# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
River Plate,1993–94,Primera División,25,16,—,—,—,—,3,0,—,—,28,16
River Plate,1994–95,Primera División,18,4,—,—,—,—,4,2,—,—,22,6
River Plate,1995–96,Primera División,21,4,—,—,—,—,13,10,—,—,34,14
River Plate,Total,Total,64,24,—,—,—,—,20,12,—,—,84,36
Parma,1996–97,Serie A,27,12,1,0,—,—,—,—,—,—,28,12
Parma,1997–98,Serie A,25,12,2,0,—,—,8,2,—,—,35,14
Parma,1998–99,Serie A,30,16,7,6,—,—,8,6,—,—,45,28
Parma,1999–2000,Serie A,34,22,2,1,–,–,5,3,2,1,43,27
Parma,Total,Total,116,62,12,6,—,—,21,11,2,1,151,80
Lazio,2000–01,Serie A,32,26,1,0,—,—,6,2,1,0,40,28
Lazio,2001–02,Serie A,22,13,4,4,—,—,7,3,—,—,33,20
Lazio,Total,Total,54,39,5,4,—,—,13,5,1,0,73,48
Inter Milan,2002–03,Serie A,18,7,0,0,—,—,12,9,—,—,30,16
Chelsea,2003–04,Premier League,19,10,0,0,2,0,10,2,—,—,31,12
Chelsea,2005–06,Premier League,30,10,5,1,1,0,5,2,1,0,42,13
Chelsea,Total,Total,49,20,5,1,3,0,15,4,1,0,73,25
AC Milan (loan),2004–05,Serie A,28,10,1,1,—,—,10,6,1,0,40,17
Inter Milan (loan),2006–07,Serie A,29,14,4,4,—,—,6,1,1,1,40,20
Inter Milan (loan),2007–08,Serie A,19,4,5,2,—,—,5,1,—,—,29,7
Inter Milan (loan),Total,Total,48,18,9,6,—,—,11,2,1,1,69,27
Inter Milan,2008–09,Serie A,14,2,3,0,—,—,0,0,—,—,17,2
Genoa,2009–10,Serie A,16,5,1,0,—,—,4,2,—,—,21,7
Parma,2009–10,Serie A,13,1,0,0,—,—,—,—,—,—,13,1
Parma,2010–11,Serie A,29,9,2,2,—,—,—,—,—,—,31,11
Parma,2011–12,Serie A,4,0,2,2,—,—,—,—,—,—,6,2
Parma,Total,Total,46,10,4,4,—,—,—,—,—,—,50,14
Career total,Career total,Career total,453,197,40,22,3,0,106,51,6,2,608,272
