# Appearances and goals by club, season and competition
Club,Season,Unnamed: 2_level_0 Division,Unnamed: 3_level_0 Apps,Unnamed: 4_level_0 Goals
Real Tamale United,1980,Ghana Premier League,11,0
Real Tamale United,1981,Ghana Premier League,12,7
Real Tamale United,1982,Ghana Premier League,23,14
Real Tamale United,Total,Total,46,21
Al Sadd,1982–83,Qatar Stars League,8,7
FC Zürich,1983–84,Nationalliga A,18,9
Dragons l'Ouémé,1984,Benin Premier League,8,11
Real Tamale United,1985,Ghana Premier League,19,7
Niort,1986–87,Division 2,32,14
Mulhouse,1987–88,Division 2,16,5
Marseille,1987–88,French Division 1,5,0
Marseille,1988–89,French Division 1,4,0
Marseille,1990–91,French Division 1,32,5
Marseille,1991–92,French Division 1,36,12
Marseille,1992–93,French Division 1,35,6
Marseille,Total,Total,112,23
Lille (loan),1988–89,French Division 1,24,7
Lille (loan),1989–90,French Division 1,37,9
Lille (loan),Total,Total,61,16
Lyon,1993–94,French Division 1,29,3
Torino,1994–95,Serie A,32,10
Torino,1995–96,Serie A,17,1
Torino,Total,Total,49,11
1860 Munich,1996–97,Bundesliga,25,1
1860 Munich,1997–98,Bundesliga,25,1
1860 Munich,Total,Total,50,2
Al Ain,1998–99,UAE Football League,20,17
Al Ain,1999–2000,UAE Football League,11,11
Al Ain,Total,Total,31,28
Career total,Career total,Career total,479,157
