# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Malmö FF,1999,Allsvenskan,6,1,0,0,—,—,—,—,—,—,6,1
Malmö FF,2000,Superettan,26,12,3,2,—,—,—,—,—,—,29,14
Malmö FF,2001,Allsvenskan,8,3,4,0,—,—,—,—,—,—,12,3
Malmö FF,Total,Total,40,16,7,2,0,0,0,0,0,0,47,18
Ajax,2001–02,Eredivisie,24,6,3,1,—,—,6,2,—,—,33,9
Ajax,2002–03,Eredivisie,25,13,3,3,—,—,13,5,1,0,42,21
Ajax,2003–04,Eredivisie,22,13,1,0,—,—,8,2,—,—,31,15
Ajax,2004–05,Eredivisie,3,3,—,—,—,—,—,—,1,0,4,3
Ajax,Total,Total,74,35,7,4,0,0,27,9,2,0,110,48
Juventus,2004–05,Serie A,35,16,0,0,—,—,10,0,—,—,45,16
Juventus,2005–06,Serie A,35,7,2,0,—,—,9,3,1,0,47,10
Juventus,Total,Total,70,23,2,0,0,0,19,3,1,0,92,26
Inter Milan,2006–07,Serie A,27,15,1,0,—,—,7,0,1,0,36,15
Inter Milan,2007–08,Serie A,26,17,0,0,—,—,7,5,1,0,34,22
Inter Milan,2008–09,Serie A,35,25,3,3,—,—,8,1,1,0,47,29
Inter Milan,Total,Total,88,57,4,3,0,0,22,6,3,0,117,66
Barcelona,2009–10,La Liga,29,16,2,1,—,—,10,4,4,0,45,21
Barcelona,2010–11,La Liga,—,—,—,—,—,—,—,—,1,1,1,1
Barcelona,Total,Total,29,16,2,1,0,0,10,4,5,1,46,22
AC Milan (loan),2010–11,Serie A,29,14,4,3,—,—,8,4,—,—,41,21
AC Milan,2011–12,Serie A,32,28,3,1,—,—,8,5,1,1,44,35
AC Milan,Total,Total,61,42,7,4,0,0,16,9,1,1,85,56
Paris Saint-Germain,2012–13,Ligue 1,34,30,2,2,1,0,9,3,—,—,46,35
Paris Saint-Germain,2013–14,Ligue 1,33,26,2,3,2,2,8,10,1,0,46,41
Paris Saint-Germain,2014–15,Ligue 1,24,19,3,4,3,3,6,2,1,2,37,30
Paris Saint-Germain,2015–16,Ligue 1,31,38,6,7,3,0,10,5,1,0,51,50
Paris Saint-Germain,Total,Total,122,113,13,16,9,5,33,20,3,2,180,156
Manchester United,2016–17,Premier League,28,17,1,1,5,4,11,5,1,1,46,28
Manchester United,2017–18,Premier League,5,0,0,0,1,1,1,0,—,—,7,1
Manchester United,Total,Total,33,17,1,1,6,5,12,5,1,1,53,29
LA Galaxy,2018,Major League Soccer,27,22,0,0,—,—,—,—,—,—,27,22
LA Galaxy,2019,Major League Soccer,29,30,0,0,—,—,—,—,2,1,31,31
LA Galaxy,Total,Total,56,52,0,0,0,0,0,0,2,1,58,53
AC Milan,2019–20,Serie A,18,10,2,1,—,—,—,—,—,—,20,11
AC Milan,2020–21,Serie A,19,15,2,1,—,—,6,1,—,—,27,17
AC Milan,2021–22,Serie A,23,8,0,0,—,—,4,0,—,—,27,8
AC Milan,2022–23,Serie A,4,1,0,0,—,—,0,0,0,0,4,1
AC Milan,Total,Total,64,34,4,2,0,0,10,1,0,0,78,37
Career total,Career total,Career total,637,405,47,33,15,10,149,57,18,6,866,511
