# Table 2
National Team,Year,Friendlies App,Friendlies Goals,International Competition App,International Competition Goals,Total App,Total Goals,Goals per match
Portugal,1997,0,0,3,0,3,0,0.0
Portugal,1998,1,0,0,0,1,0,0.0
Portugal,1999,2,1,5,2,7,3,0.429
Portugal,2000,5,1,4,1,9,2,0.222
Portugal,2001,3,0,7,7,10,7,0.7
Portugal,2002,8,4,3,3,11,7,0.636
Portugal,2003,12,8,0,0,12,8,0.667
Portugal,2004,4,3,10,6,14,9,0.643
Portugal,2005,5,2,7,5,12,7,0.583
Portugal,2006,3,3,6,1,9,4,0.444
Portugal,Total,43,22,45,25,88,47,0.534
