# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Albacete,1993–94,La Liga,2,0,2,1,—,—,0,0,—,—,4,1
Albacete,1994–95,La Liga,20,5,6,2,—,—,0,0,1,0,27,7
Albacete,Total,Total,22,5,8,3,—,—,0,0,1,0,31,8
Zaragoza,1995–96,La Liga,29,13,3,3,—,—,5,2,2,0,39,18
Zaragoza,1996–97,La Liga,37,15,3,1,—,—,–,–,–,–,40,16
Zaragoza,Total,Total,66,28,6,4,—,—,5,2,2,0,79,34
Real Madrid,1997–98,La Liga,33,12,2,0,—,—,10,4,–,–,45,16
Real Madrid,1998–99,La Liga,33,19,5,6,—,—,4,0,1,0,43,25
Real Madrid,1999–2000,La Liga,29,12,5,0,—,—,14,6,3,1,51,19
Real Madrid,2000–01,La Liga,22,6,1,0,—,—,8,4,1,0,32,10
Real Madrid,2001–02,La Liga,33,18,5,0,—,—,11,3,2,0,51,21
Real Madrid,2002–03,La Liga,19,5,2,1,—,—,7,0,0,0,28,6
Real Madrid,2003–04,La Liga,1,0,0,0,—,—,0,0,–,–,1,0
Real Madrid,2004–05,La Liga,13,0,2,1,—,—,6,2,–,–,21,3
Real Madrid,Total,Total,183,72,22,8,—,—,61,19,6,1,272,100
Monaco (loan),2003–04,Ligue 1,28,10,2,3,0,0,12,9,–,–,42,22
Liverpool,2004–05,Premier League,13,3,0,0,2,0,—,—,–,–,15,3
Liverpool,2005–06,Premier League,28,5,5,1,1,0,10,3,2,0,46,9
Liverpool,Total,Total,41,8,5,1,3,0,10,3,2,0,61,12
Valencia,2006–07,La Liga,24,12,3,0,—,—,10,7,–,–,37,19
Valencia,2007–08,La Liga,22,6,1,1,—,—,8,1,–,–,31,8
Valencia,2008–09,La Liga,20,1,6,2,—,—,7,3,1,1,34,7
Valencia,Total,Total,66,19,10,3,—,—,25,11,1,1,102,34
Marseille,2009–10,Ligue 1,12,1,2,0,0,0,5,0,–,–,19,1
Santa Ana,2014–15,Preferente,3,0,—,—,—,—,—,—,–,–,3,0
Career total,Career total,Career total,421,143,55,22,3,0,115,44,12,2,606,211
