# List of international goals scored by Gyula Zsengellér
No.,Date,Venue,Opponent,Score,Result,Competition
1,11 April 1937,"Stadion Rankhof, Basel, Switzerland",Switzerland,2–0,5–1,1936–38 Central European Cup
2,11 April 1937,"Stadion Rankhof, Basel, Switzerland",Switzerland,3–1,5–1,1936–38 Central European Cup
3,11 April 1937,"Stadion Rankhof, Basel, Switzerland",Switzerland,4–1,5–1,1936–38 Central European Cup
4,19 September 1937,"Hungaria uti, Budapest, Hungary",Czech Republic,1–0,8–3,1936–38 Central European Cup
5,16 January 1938,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,4–0,6–0,Friendly
6,25 March 1938,"Hungária körúti stadion, Budapest, Hungary",Greece,1–0,11–1,1938 FIFA World Cup qualification
7,25 March 1938,"Hungária körúti stadion, Budapest, Hungary",Greece,3–0,11–1,1938 FIFA World Cup qualification
8,25 March 1938,"Hungária körúti stadion, Budapest, Hungary",Greece,4–0,11–1,1938 FIFA World Cup qualification
9,25 March 1938,"Hungária körúti stadion, Budapest, Hungary",Greece,10–0,11–1,1938 FIFA World Cup qualification
10,25 March 1938,"Hungária körúti stadion, Budapest, Hungary",Greece,11–0,11–1,1938 FIFA World Cup qualification
11,5 June 1938,"Vélodrome Municipal, Reims, France",France,4–0,6–0,1938 World Cup Round of 16
12,5 June 1938,"Vélodrome Municipal, Reims, France",France,5–0,6–0,1938 World Cup Round of 16
13,12 June 1938,"Stade Victor Boucquey, Lille, France",Switzerland,2–0,2–0,1938 World Cup quarter-finals
14,16 June 1938,"Parc des Princes, Paris, France",Sweden,3–1,5–1,1938 World Cup Semi-finals
15,16 June 1938,"Parc des Princes, Paris, France",Sweden,5–1,5–1,1938 World Cup Semi-finals
16,26 February 1939,"Rotterdam, Netherlands",Netherlands,1–0,2–3,Friendly
17,19 March 1939,"Cork, Ireland",Ireland,1–1,2–2,Friendly
18,27 August 1939,"Polish Army Stadium, Warsaw, Poland",Poland,1–0,2–4,Friendly
19,24 September 1939,"Üllői úti stadion, Budapest, Hungary",Germany,2–0,5–1,Friendly
20,24 September 1939,"Üllői úti stadion, Budapest, Hungary",Germany,3–1,5–1,Friendly
21,24 September 1939,"Üllői úti stadion, Budapest, Hungary",Germany,4–1,5–1,Friendly
22,3 May 1942,"Üllői úti stadion, Budapest, Hungary",Germany,2–1,5–3,Friendly
23,16 May 1943,"Geneva, Hungary",Switzerland,2–1,3–1,Friendly
24,6 June 1943,"Yunak Stadium, Sofia, Bulgaria",Bulgaria,1–0,4–2,Friendly
25,6 June 1943,"Yunak Stadium, Sofia, Bulgaria",Bulgaria,2–0,4–2,Friendly
26,6 June 1943,"Yunak Stadium, Sofia, Bulgaria",Bulgaria,3–0,4–2,Friendly
27,6 June 1943,"Yunak Stadium, Sofia, Bulgaria",Bulgaria,4–1,4–2,Friendly
28,12 September 1943,"Solna, Sweden",Sweden,1–1,3–2,Friendly
29,19 August 1945,"Üllői úti stadion, Budapest, Hungary",Austria,2–0,2–0,Friendly
30,20 August 1945,"Üllői úti stadion, Budapest, Hungary",Austria,3–0,5–2,Friendly
31,30 September 1945,"Üllői úti stadion, Budapest, Hungary",Romania,3–1,7–2,Friendly
32,14 April 1946,"Vienna, Austria",Austria,2–1,2–3,Friendly
