# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Stocksbridge Park Steels,2005–06,NPL Division One,0,0,0,0,—,—,—,—,1,0,1,0
Stocksbridge Park Steels,2006–07,NPL Division One,3,0,1,0,—,—,—,—,0,0,4,0
Stocksbridge Park Steels,2007–08,NPL Division One South,29,10,3,1,—,—,—,—,5,3,37,14
Stocksbridge Park Steels,2008–09,NPL Division One South,33,16,2,1,—,—,—,—,12,5,47,22
Stocksbridge Park Steels,2009–10,NPL Premier Division,23,14,1,2,—,—,—,—,2,3,26,19
Stocksbridge Park Steels,Total,Total,88,40,7,4,—,—,—,—,20,11,115,55
FC Halifax Town,2010–11,NPL Premier Division,33,23,3,1,—,—,—,—,1,1,37,25
FC Halifax Town,2011–12,Conference North,4,3,—,—,—,—,—,—,—,—,4,3
FC Halifax Town,Total,Total,37,26,3,1,—,—,—,—,1,1,41,28
Fleetwood Town,2011–12,Conference Premier,36,31,6,3,—,—,—,—,0,0,42,34
Leicester City,2012–13,Championship,26,4,2,0,1,1,—,—,—,—,29,5
Leicester City,2013–14,Championship,37,16,1,0,3,0,—,—,—,—,41,16
Leicester City,2014–15,Premier League,34,5,2,0,0,0,—,—,—,—,36,5
Leicester City,2015–16,Premier League,36,24,1,0,1,0,—,—,—,—,38,24
Leicester City,2016–17,Premier League,35,13,2,0,1,0,9,2,1,1,48,16
Leicester City,2017–18,Premier League,37,20,3,2,2,1,—,—,—,—,42,23
Leicester City,2018–19,Premier League,34,18,0,0,2,0,—,—,—,—,36,18
Leicester City,2019–20,Premier League,35,23,1,0,4,0,—,—,—,—,40,23
Leicester City,2020–21,Premier League,34,15,4,0,0,0,4,2,—,—,42,17
Leicester City,2021–22,Premier League,25,15,0,0,1,2,6,0,1,0,33,17
Leicester City,2022–23,Premier League,37,3,2,0,3,3,—,—,—,—,42,6
Leicester City,2023–24,Championship,35,18,1,1,1,1,—,—,—,—,37,20
Leicester City,2024–25,Premier League,35,9,1,1,0,0,—,—,—,—,36,10
Leicester City,Total,Total,440,183,20,4,19,8,19,4,2,1,500,200
Cremonese,2025–26,Serie A,1,0,—,—,—,—,—,—,—,—,1,0
Career total,Career total,Career total,602,280,36,12,19,8,19,4,23,13,699,317
