# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich,1963–64,Regionalliga Süd,0,0,—,—,—,—,6,2,6,2
Bayern Munich,1964–65,Regionalliga Süd,31,16,—,—,—,—,8,2,39,18
Bayern Munich,1965–66,Bundesliga,33,4,6,1,—,—,—,—,39,5
Bayern Munich,1966–67,Bundesliga,33,0,5,0,9,0,—,—,47,0
Bayern Munich,1967–68,Bundesliga,28,4,4,0,7,1,—,—,39,5
Bayern Munich,1968–69,Bundesliga,33,2,6,0,—,—,—,—,39,2
Bayern Munich,1969–70,Bundesliga,34,6,1,0,2,0,—,—,37,6
Bayern Munich,1970–71,Bundesliga,33,3,9,1,8,1,—,—,50,5
Bayern Munich,1971–72,Bundesliga,34,6,6,1,7,0,—,—,47,7
Bayern Munich,1972–73,Bundesliga,34,6,6,0,6,1,5,0,51,7
Bayern Munich,1973–74,Bundesliga,34,4,4,0,10,1,—,—,48,5
Bayern Munich,1974–75,Bundesliga,33,1,3,0,7,1,—,—,43,2
Bayern Munich,1975–76,Bundesliga,34,5,7,2,9,0,2,0,52,7
Bayern Munich,1976–77,Bundesliga,33,3,4,0,6,1,4,0,47,4
Bayern Munich,Total,Total,427,60,61,5,71,6,25,4,584,75
New York Cosmos,1977,NASL,15,4,—,—,—,—,6,1,21,5
New York Cosmos,1978,NASL,27,8,—,—,—,—,6,2,33,10
New York Cosmos,1979,NASL,12,1,—,—,—,—,6,0,18,1
New York Cosmos,1980,NASL,26,4,—,—,—,—,7,1,33,5
New York Cosmos,Total,Total,80,17,—,—,—,—,25,4,105,21
Hamburger SV,1980–81,Bundesliga,18,0,2,0,0,0,—,—,20,0
Hamburger SV,1981–82,Bundesliga,10,0,3,0,5,0,—,—,18,0
Hamburger SV,Total,Total,28,0,5,0,5,0,—,—,38,0
New York Cosmos,1983,NASL,25,2,—,—,—,—,2,0,27,2
Career total,Career total,Career total,560,79,66,5,76,6,52,8,754,98
