# Appearances and goals by club, season and competition
Club,Season,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Boavista,1988–89,6,0,0,0,0,0,6,0
Boavista,1989–90,11,3,0,0,2,2,13,5
Boavista,Total,17,3,0,0,2,2,19,5
Atlético Madrid B,1990–91,0,0,0,0,0,0,0,0
Boavista,1991–92,34,8,5,0,4,0,43,8
Benfica,1992–93,21,7,6,1,4,1,31,9
Benfica,1993–94,34,15,2,1,8,2,44,18
Benfica,1994–95,24,4,5,1,7,1,36,6
Benfica,1995–96,31,18,6,4,5,1,42,23
Benfica,1996–97,28,7,6,6,6,3,40,16
Benfica,1997–98,25,6,3,1,2,0,30,7
Benfica,1998–99,28,4,1,0,7,3,36,7
Benfica,1999–2000,29,3,1,0,5,0,35,3
Benfica,Total,220,64,30,14,44,11,294,89
Sporting CP,2000–01,31,6,5,1,5,0,41,7
Sporting CP,2001–02,33,9,6,2,5,1,44,12
Sporting CP,2002–03,25,8,1,0,0,0,26,8
Sporting CP,2003–04,26,5,1,0,4,0,31,5
Sporting CP,Total,115,28,13,3,14,1,142,32
Boavista,2004–05,26,2,4,1,0,0,30,3
Boavista,2005–06,31,9,1,1,0,0,32,10
Boavista,Total,57,11,5,2,0,0,62,13
Braga,2006–07,24,2,0,0,0,0,24,2
Braga,2007–08,9,1,0,0,0,0,9,1
Braga,Total,33,3,0,0,0,0,33,3
Career total,Career total,476,117,56,20,75,15,605,152
