# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Barcelona B,2007–08,Tercera División,23,2,—,—,—,—,—,—,23,2
Barcelona B,2008–09,Segunda División B,2,0,—,—,—,—,—,—,2,0
Barcelona B,Total,Total,25,2,—,—,—,—,—,—,25,2
Barcelona,2008–09,La Liga,24,1,9,0,8,2,—,—,41,3
Barcelona,2009–10,La Liga,33,0,4,0,10,0,5,1,52,1
Barcelona,2010–11,La Liga,28,1,5,0,12,0,1,0,46,1
Barcelona,2011–12,La Liga,31,1,8,0,10,1,3,0,52,2
Barcelona,2012–13,La Liga,31,1,4,0,8,0,2,0,45,1
Barcelona,2013–14,La Liga,32,1,5,1,9,1,2,0,48,3
Barcelona,2014–15,La Liga,33,1,4,0,10,0,—,—,47,1
Barcelona,2015–16,La Liga,35,0,5,0,9,0,4,0,53,0
Barcelona,2016–17,La Liga,33,0,5,0,8,0,2,0,48,0
Barcelona,2017–18,La Liga,31,1,7,0,10,0,2,0,50,1
Barcelona,2018–19,La Liga,35,0,6,0,12,0,1,0,54,0
Barcelona,2019–20,La Liga,33,2,2,0,7,0,1,0,43,2
Barcelona,2020–21,La Liga,36,0,6,0,6,0,2,0,50,0
Barcelona,2021–22,La Liga,36,2,2,0,12,1,1,0,51,3
Barcelona,2022–23,La Liga,30,0,5,0,5,0,2,0,42,0
Barcelona,Total,Total,481,11,77,1,136,5,28,1,722,18
Inter Miami,2023,MLS,11,0,2,0,—,—,7,0,20,0
Inter Miami,2024,MLS,30,1,—,—,4,0,6,0,40,1
Inter Miami,2025,MLS,29,0,—,—,7,0,10,0,46,0
Inter Miami,Total,Total,70,1,2,0,11,0,23,0,106,1
Career total,Career total,Career total,576,14,79,1,147,5,51,1,853,21
