# List of international goals scored by Lothar Matthäus
No.,Date,Venue,Opponent,Score,Result,Competition
1,30 April 1985,"Stadion Evžena Rošického, Prague, Czech Republic",Czechoslovakia,3–0,5–1,1986 FIFA World Cup qualification
2,5 February 1986,"Stadio Partenio-Adriano Lombardi, Avellino, Italy",Italy,2–1,2–1,Friendly
3,17 June 1986,"Estadio Universitario, Monterrey, Mexico",Morocco,1–0,1–0,1986 FIFA World Cup
4,25 March 1987,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,2–0,2–0,Friendly
5,2 April 1988,"Olympiastadion, West Berlin, West Germany",Argentina,1–0,1–0,Four Nations Tournament (1988)
6,4 June 1988,"Weserstadion, Bremen, West Germany",Yugoslavia,1–1,1–1,Friendly
7,21 June 1988,"Volksparkstadion, Hamburg, West Germany",Netherlands,1–0,1–2,UEFA Euro 1988
8,31 August 1988,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,3–0,4–0,1990 FIFA World Cup qualification
9,4 October 1989,"Westfalenstadion, Dortmund, West Germany",Finland,6–1,6–1,1990 FIFA World Cup qualification
10,25 April 1990,"Neckarstadion, Stuttgart, West Germany",Uruguay,1–1,3–3,Friendly
11,10 June 1990,"San Siro, Milan, Italy",Yugoslavia,1–0,4–1,1990 FIFA World Cup
12,10 June 1990,"San Siro, Milan, Italy",Yugoslavia,3–1,4–1,1990 FIFA World Cup
13,15 June 1990,"San Siro, Milan, Italy",United Arab Emirates,3–1,5–1,1990 FIFA World Cup
14,1 July 1990,"San Siro, Milan, Italy",Czechoslovakia,1–0,1–0,1990 FIFA World Cup
15,29 August 1990,"Estádio da Luz (1954), Lisbon, Portugal",Portugal,1–0,1–1,Friendly
16,19 December 1990,"Neckarstadion, Stuttgart, Germany",Switzerland,4–0,4–0,Friendly
17,27 March 1991,"Waldstadion (Frankfurt), Frankfurt, Germany",Soviet Union,2–0,2–1,Friendly
18,1 May 1991,"Niedersachsenstadion, Hanover, Germany",Belgium,1–0,1–0,UEFA Euro 1992 qualifying
19,18 December 1991,"Ulrich Haberland Stadion, Leverkusen, Germany",Luxembourg,1–0,4–0,UEFA Euro 1992 qualifying
20,10 July 1994,"Giants Stadium, East Rutherford, United States",Bulgaria,1–0,1–2,1994 FIFA World Cup
21,14 December 1994,"Stadionul Republican, Chişinău, Moldova",Moldova,3–0,3–0,UEFA Euro 1996 qualifying
22,18 December 1994,"Fritz-Walter-Stadion, Kaiserslautern, Germany",Albania,2–0,2–1,UEFA Euro 1996 qualifying
23,28 July 1999,"Estadio Jalisco, Guadalajara, Mexico",New Zealand,2–0,2–0,1999 FIFA Confederations Cup
