# List of international goals scored by Juan Mata
No.,Date,Venue,Opponent,Score,Result,Competition
1,9 September 2009,"Estadio Romano, Mérida, Spain",Estonia,3–0,3–0,2010 FIFA World Cup qualification
2,10 October 2009,"Vazgen Sargsyan Republican Stadium, Yerevan, Armenia",Armenia,2–1,2–1,2010 FIFA World Cup qualification
3,14 October 2009,"Bilino Polje, Zenica, Bosnia and Herzegovina",Bosnia and Herzegovina,5–0,5–2,2010 FIFA World Cup qualification
4,29 March 2011,"Darius and Girėnas Stadium, Kaunas, Lithuania",Lithuania,3–1,3–1,UEFA Euro 2012 qualification
5,7 October 2011,"Generali Arena, Prague, Czech Republic",Czech Republic,1–0,2–0,UEFA Euro 2012 qualification
6,1 July 2012,"Olympic Stadium, Kyiv, Ukraine",Italy,4–0,4–0,UEFA Euro 2012
7,11 June 2013,"Yankee Stadium, New York City, United States",Republic of Ireland,2–0,2–0,Friendly
8,20 June 2013,"Maracanã Stadium, Rio de Janeiro, Brazil",Tahiti,8–0,10–0,2013 FIFA Confederations Cup
9,15 October 2013,"Estadio Carlos Belmonte, Albacete, Spain",Georgia,2–0,2–0,2014 FIFA World Cup qualification
10,23 June 2014,"Arena da Baixada, Curitiba, Brazil",Australia,3–0,3–0,2014 FIFA World Cup
