# Table 2
Club,Season,Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Celtic,1962–63,Scottish Division One,4,1,1,0,0,0,0,0,0,0,5,1
Celtic,1963–64,Scottish Division One,25,6,4,2,2,0,7,2,4,0,42,10
Celtic,1964–65,Scottish Division One,24,1,1,0,10,3,4,0,1,0,40,4
Celtic,1965–66,Scottish Division One,32,9,7,1,8,1,7,3,—,—,54,14
Celtic,1966–67,Scottish Division One,25,13,5,0,10,1,9,2,2,0,51,16
Celtic,1967–68,Scottish Division One,29,5,1,0,8,5,2,0,5,1,45,11
Celtic,1968–69,Scottish Division One,31,5,6,2,8,0,5,2,0,0,50,9
Celtic,1969–70,Scottish Division One,27,10,4,1,6,0,9,0,0,0,46,11
Celtic,1970–71,Scottish Division One,30,8,8,2,9,5,4,4,1,0,52,19
Celtic,1971–72,Scottish Division One,23,9,2,0,8,1,6,0,1,0,40,10
Celtic,1972–73,Scottish Division One,22,7,7,2,7,1,3,0,2,3,41,13
Celtic,1973–74,Scottish Division One,15,3,2,1,9,1,6,3,0,0,32,8
Celtic,1974–75,Scottish Division One,19,5,0,0,7,3,2,0,3,1,31,9
Celtic,Total,Total,306,82,48,11,92,21,64,16,19,5,529,135
San Jose Earthquakes,1975,North American Soccer League,9,0,—,—,—,—,—,—,—,—,9,0
Sheffield United,1975–76,English Division One,6,1,1,0,0,0,—,—,1,0,8,1
Sheffield United,1976–77,English Division Two,5,1,0,0,0,0,—,—,0,0,5,1
Sheffield United,Total,Total,11,2,1,0,0,0,—,—,1,0,13,2
Dundee,1977–78,Scottish First Division,3,0,0,0,0,0,—,—,0,0,3,0
Total,Total,Total,329,84,49,11,92,21,64,16,20,5,554,137
