# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Danubio,2005–06,Uruguayan Primera División,0,0,0,0,—,—,—,—,—,—,0,0
Danubio,2006–07,Uruguayan Primera División,15,5,0,0,—,—,—,—,—,—,15,5
Danubio,Total,Total,15,5,0,0,—,—,—,—,—,—,15,5
Palermo,2006–07,Serie A,7,2,—,—,—,—,—,—,—,—,7,2
Palermo,2007–08,Serie A,33,5,2,0,—,—,2,0,—,—,37,5
Palermo,2008–09,Serie A,35,14,1,1,—,—,—,—,—,—,36,15
Palermo,2009–10,Serie A,34,13,3,2,—,—,—,—,—,—,37,15
Palermo,Total,Total,109,34,6,3,—,—,2,0,—,—,117,37
Napoli,2010–11,Serie A,35,26,2,0,—,—,10,7,—,—,47,33
Napoli,2011–12,Serie A,35,23,5,5,—,—,8,5,—,—,48,33
Napoli,2012–13,Serie A,34,29,1,1,—,—,7,7,1,1,43,38
Napoli,Total,Total,104,78,8,6,—,—,25,19,1,1,138,104
Paris Saint-Germain,2013–14,Ligue 1,30,16,2,1,3,4,8,4,0,0,43,25
Paris Saint-Germain,2014–15,Ligue 1,35,18,4,4,3,3,10,6,1,0,53,31
Paris Saint-Germain,2015–16,Ligue 1,32,19,5,2,4,1,10,2,1,1,52,25
Paris Saint-Germain,2016–17,Ligue 1,36,35,3,2,3,4,8,8,0,0,50,49
Paris Saint-Germain,2017–18,Ligue 1,32,28,5,3,2,2,8,7,1,0,48,40
Paris Saint-Germain,2018–19,Ligue 1,21,18,3,2,2,1,7,2,0,0,33,23
Paris Saint-Germain,2019–20,Ligue 1,14,4,2,2,2,0,3,1,1,0,22,7
Paris Saint-Germain,Total,Total,200,138,24,16,19,15,54,30,4,1,301,200
Manchester United,2020–21,Premier League,26,10,3,0,1,1,9,6,—,—,39,17
Manchester United,2021–22,Premier League,15,2,1,0,0,0,4,0,—,—,20,2
Manchester United,Total,Total,41,12,4,0,1,1,13,6,—,—,59,19
Valencia,2022–23,La Liga,25,5,2,2,—,—,—,—,1,0,28,7
Boca Juniors,2023,Argentine Primera División,8,1,2,1,—,—,6,1,—,—,16,3
Boca Juniors,2024,Argentine Primera División,29,11,4,4,—,—,6,5,—,—,39,20
Boca Juniors,2025,Argentine Primera División,18,3,1,1,—,—,1,0,1,0,21,4
Boca Juniors,Total,Total,55,15,7,6,—,—,13,6,1,0,76,27
Career total,Career total,Career total,529,279,51,33,40,24,107,61,7,2,734,399
