# Appearances and goals by club, season and competition
Season,Club,Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Tottenham Hotspur,1992–93,Premier League,1,1,0,0,0,0,—,—,—,—,1,1
Tottenham Hotspur,1993–94,Premier League,34,0,3,0,5,1,—,—,—,—,42,1
Tottenham Hotspur,1994–95,Premier League,30,0,3,0,3,0,—,—,—,—,36,0
Tottenham Hotspur,1995–96,Premier League,31,1,6,0,2,0,0,0,—,—,39,1
Tottenham Hotspur,1996–97,Premier League,38,0,1,0,4,1,—,—,—,—,43,1
Tottenham Hotspur,1997–98,Premier League,34,0,3,1,3,0,—,—,—,—,40,1
Tottenham Hotspur,1998–99,Premier League,37,6,7,0,8,2,—,—,—,—,52,8
Tottenham Hotspur,1999–2000,Premier League,29,0,2,0,2,0,2,0,—,—,35,0
Tottenham Hotspur,2000–01,Premier League,21,2,5,0,1,0,—,—,—,—,27,2
Tottenham Hotspur,Total,Total,255,10,30,1,28,4,2,0,—,—,315,15
Arsenal,2001–02,Premier League,31,2,7,1,0,0,10,0,—,—,48,3
Arsenal,2002–03,Premier League,33,2,5,1,0,0,10,0,1,0,49,3
Arsenal,2003–04,Premier League,35,1,5,0,0,0,9,0,1,0,50,1
Arsenal,2004–05,Premier League,16,1,1,0,0,0,4,0,0,0,21,1
Arsenal,2005–06,Premier League,20,2,1,0,2,0,6,1,0,0,29,3
Arsenal,Total,Total,135,8,19,2,2,0,39,1,2,0,197,11
Portsmouth,2006–07,Premier League,32,1,2,0,0,0,—,—,—,—,34,1
Portsmouth,2007–08,Premier League,31,1,5,0,1,0,—,—,—,—,37,1
Portsmouth,2008–09,Premier League,32,0,3,0,0,0,4,0,1,0,40,0
Portsmouth,Total,Total,95,2,10,0,1,0,4,0,1,0,111,2
Notts County,2009–10,League Two,1,0,—,—,—,—,—,—,—,—,1,0
Arsenal,2009–10,Premier League,11,0,1,0,—,—,2,1,—,—,14,1
Newcastle United,2010–11,Premier League,7,0,0,0,1,0,—,—,—,—,8,0
Career total,Career total,Career total,504,20,60,3,32,4,47,2,3,0,646,29
