# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Sporting de Lourenço Marques,1957,Moçambola,4,9,—,—,—,—,,,4,9
Sporting de Lourenço Marques,1958,Moçambola,7,11,—,—,—,—,,,7,11
Sporting de Lourenço Marques,1959,Moçambola,11,21,—,—,—,—,,,11,21
Sporting de Lourenço Marques,1960,Moçambola,20,36,—,—,—,—,,,20,36
Sporting de Lourenço Marques,Total,Total,42,77,—,—,—,—,,,42,77
Benfica,1960–61,Primeira Divisão,1,1,1,1,0,0,,,2,2
Benfica,1961–62,Primeira Divisão,17,12,7,11,6,5,1,1,31,29
Benfica,1962–63,Primeira Divisão,24,23,6,8,7,6,2,1,39,38
Benfica,1963–64,Primeira Divisão,19,28,6,14,3,4,,,28,46
Benfica,1964–65,Primeira Divisão,20,28,7,11,9,9,,,36,48
Benfica,1965–66,Primeira Divisão,23,25,2,5,5,7,,,30,37
Benfica,1966–67,Primeira Divisão,26,31,3,7,4,4,,,33,42
Benfica,1967–68,Primeira Divisão,24,42,2,2,9,6,,,35,50
Benfica,1968–69,Primeira Divisão,21,10,9,18,5,1,,,35,29
Benfica,1969–70,Primeira Divisão,22,21,2,1,4,4,,,28,26
Benfica,1970–71,Primeira Divisão,22,19,7,9,3,7,,,32,35
Benfica,1971–72,Primeira Divisão,24,19,5,8,8,1,,,37,28
Benfica,1972–73,Primeira Divisão,28,40,1,0,4,2,,,33,42
Benfica,1973–74,Primeira Divisão,21,16,3,2,4,1,,,28,19
Benfica,1974–75,Primeira Divisão,9,2,0,0,4,0,,,13,2
Benfica,Total,Total,301,317,61,97,75,57,3,2,440,473
Boston Minutemen,1975,NASL,7,2,—,—,—,—,1,0,8,2
Monterrey,1975–76,Mexican Primera División,10,1,—,—,—,—,—,—,10,1
Toronto Metros-Croatia,1976,NASL,21,16,—,—,—,—,4,2,25,18
Beira-Mar,1976–77,Primeira Divisão,12,3,—,—,—,—,—,—,12,3
Las Vegas Quicksilvers,1977,NASL,17,2,—,—,—,—,—,—,17,2
União de Tomar,1977–78,Segunda Divisão,9,3,—,—,—,—,—,—,9,3
New Jersey Americans,1978,ASL,9,2,—,—,—,—,—,—,9,2
New Jersey Americans,1979,ASL,—,—,—,—,—,—,—,—,—,—
Buffalo Stallions (indoor),1979–80,MISL,5,1,—,—,—,—,—,—,5,1
Career total,Career total,Career total,433,424,61,97,75,57,8,4,577,582
