# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Rennes,1992–93,Division 2,2,0,0,0,–,–,–,–,–,–,2,0
Rennes,1993–94,Division 2,26,8,1,0,–,–,–,–,–,–,27,8
Rennes,1994–95,Division 1,26,5,1,0,0,0,–,–,–,–,27,5
Rennes,1995–96,Division 1,37,15,1,0,2,3,–,–,–,–,40,18
Rennes,Total,Total,91,28,3,0,2,3,–,–,–,–,96,31
Rennes (loan),1996–97,Division 1,35,3,2,0,3,0,–,–,–,–,40,3
Bordeaux,1997–98,Division 1,34,11,2,4,5,1,2,0,–,–,43,16
Bordeaux,1998–99,Division 1,33,22,0,0,1,0,8,5,–,–,42,27
Bordeaux,1999–2000,Division 1,32,13,4,0,2,0,12,4,1,0,51,17
Bordeaux,Total,Total,99,46,6,4,8,1,22,9,1,0,136,60
Arsenal,2000–01,Premier League,27,8,6,6,1,0,13,1,–,–,47,15
Arsenal,2001–02,Premier League,33,10,7,2,3,4,11,1,–,–,54,17
Arsenal,2002–03,Premier League,34,10,7,2,0,0,12,1,1,0,54,13
Arsenal,2003–04,Premier League,12,3,0,0,3,1,4,0,1,0,20,4
Arsenal,Total,Total,106,31,20,10,7,5,40,3,2,0,175,49
Lyon,2004–05,Ligue 1,25,3,2,2,0,0,8,6,–,–,35,11
Lyon,2005–06,Ligue 1,35,12,3,0,0,0,10,2,–,–,48,14
Lyon,2006–07,Ligue 1,22,5,1,0,2,2,6,0,–,–,31,7
Lyon,Total,Total,82,20,6,2,2,2,24,8,–,–,114,32
Rennes,2007–08,Ligue 1,25,6,2,1,1,0,4,0,–,–,32,7
Rennes,2008–09,Ligue 1,6,0,0,0,1,1,2,0,–,–,9,1
Rennes,Total,Total,31,6,2,1,2,1,6,0,–,–,41,8
Marseille,2008–09,Ligue 1,13,1,1,0,0,0,0,0,–,–,14,1
Metz,2009–10,Ligue 2,15,3,0,0,0,0,0,0,–,–,15,3
Nantes,2011–12,Ligue 2,33,8,0,0,1,0,0,0,–,–,34,8
Career total,Career total,Career total,505,146,40,17,25,12,92,20,3,0,665,195
