# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Le Havre II,2010–11,CFA,10,0,—,—,—,—,—,—,—,—,10,0
Le Havre II,2012–13,CFA,2,0,—,—,—,—,—,—,—,—,2,0
Le Havre II,Total,Total,12,0,—,—,—,—,—,—,—,—,12,0
Le Havre,2011–12,Ligue 2,29,0,2,0,1,0,—,—,—,—,32,0
Le Havre,2012–13,Ligue 2,28,0,3,0,1,0,—,—,—,—,32,0
Le Havre,Total,Total,57,0,5,0,2,0,—,—,—,—,64,0
Marseille II,2013–14,CFA 2,2,0,—,—,—,—,—,—,—,—,2,0
Marseille,2013–14,Ligue 1,24,1,2,0,2,1,2,0,—,—,30,2
Marseille,2014–15,Ligue 1,33,0,1,0,1,0,—,—,—,—,35,0
Marseille,2015–16,Ligue 1,24,1,4,0,1,0,7,0,—,—,36,1
Marseille,Total,Total,81,2,7,0,4,1,9,0,—,—,101,3
Monaco,2016–17,Ligue 1,25,0,2,1,2,0,10,0,—,—,39,1
Manchester City,2017–18,Premier League,7,0,0,0,0,0,1,0,—,—,8,0
Manchester City,2018–19,Premier League,10,0,1,0,1,0,2,0,1,0,15,0
Manchester City,2019–20,Premier League,19,0,3,0,2,0,6,0,0,0,30,0
Manchester City,2020–21,Premier League,13,2,4,0,2,0,1,0,—,—,20,2
Manchester City,2021–22,Premier League,1,0,0,0,0,0,0,0,1,0,2,0
Manchester City,2022–23,Premier League,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Total,Total,50,2,8,0,5,0,10,0,2,0,75,2
Lorient,2023–24,Ligue 1,15,2,0,0,—,—,—,—,—,—,15,2
Zürich,2024–25,Swiss Super League,7,0,1,0,—,—,—,—,—,—,8,0
Pogoń Szczecin,2025–26,Ekstraklasa,0,0,0,0,—,—,—,—,—,—,0,0
Career total,Career total,Career total,249,6,23,1,13,1,29,0,2,0,316,8
