# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,2016–17,Premier League,7,0,2,0,3,0,—,—,—,—,12,0
Liverpool,2017–18,Premier League,19,1,2,0,0,0,12,2,—,—,33,3
Liverpool,2018–19,Premier League,29,1,0,0,0,0,11,0,—,—,40,1
Liverpool,2019–20,Premier League,38,4,0,0,0,0,7,0,4,0,49,4
Liverpool,2020–21,Premier League,36,2,1,0,0,0,8,0,0,0,45,2
Liverpool,2021–22,Premier League,32,2,3,0,3,0,9,0,—,—,47,2
Liverpool,2022–23,Premier League,37,2,2,0,0,0,7,1,1,1,47,4
Liverpool,2023–24,Premier League,28,3,2,0,2,0,5,0,—,—,37,3
Liverpool,2024–25,Premier League,33,3,1,1,2,0,8,0,—,—,44,4
Liverpool,Total,Total,259,18,13,1,10,0,67,3,5,1,354,23
Real Madrid,2024–25,La Liga,—,—,—,—,—,—,—,—,5,0,5,0
Real Madrid,2025–26,La Liga,4,0,0,0,—,—,1,0,0,0,5,0
Real Madrid,Total,Total,4,0,0,0,—,—,1,0,5,0,10,0
Career total,Career total,Career total,263,18,13,1,10,0,68,3,10,1,364,23
