# International goals by number, cap, date, venue, opponent, score, result and competition
No.,Cap,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,2,4 May 1994,"Estádio da Ressacada, Florianópolis, Brazil",Iceland,1–0,3–0,Friendly,
2,8,11 June 1995,"Wembley Stadium, London, England",England,2–1,3–1,Umbro Cup,
3,10,11 October 1995,"Estádio de Pituaçu, Salvador, Brazil",Uruguay,1–0,2–0,Friendly,
4,10,11 October 1995,"Estádio de Pituaçu, Salvador, Brazil",Uruguay,2–0,2–0,Friendly,
5,11,28 August 1996,"Central Dynamo Stadium, Moscow, Russia",Russia,2–2‡,2–2,Friendly,
6,13,16 October 1996,"Albertão, Teresina, Brazil",Lithuania,1–0,3–1,Friendly,
7,13,16 October 1996,"Albertão, Teresina, Brazil",Lithuania,2–1,3–1,Friendly,
8,13,16 October 1996,"Albertão, Teresina, Brazil",Lithuania,3–1,3–1,Friendly,
9,14,18 December 1996,"Vivaldão, Manaus, Brazil",Bosnia and Herzegovina,1–0,1–0,Friendly,
10,15,26 February 1997,"Estádio Serra Dourada, Goiânia, Brazil",Poland,3–0,4–2,Friendly,
11,15,26 February 1997,"Estádio Serra Dourada, Goiânia, Brazil",Poland,4–0,4–2,Friendly,
12,16,2 April 1997,"Estádio Nacional Mané Garrincha, Brasília, Brazil",Chile,1–0,4–0,Friendly,
13,16,2 April 1997,"Estádio Nacional Mané Garrincha, Brasília, Brazil",Chile,3–0,4–0,Friendly,
14,20,8 June 1997,"Stade de Gerland, Lyon, France",Italy,2–3,3–3,1997 Tournoi de France,
15,22,13 June 1997,"Estadio Ramón Tahuichi Aguilera, Santa Cruz, Bolivia",Costa Rica,3–0,5–0,1997 Copa América,
16,22,13 June 1997,"Estadio Ramón Tahuichi Aguilera, Santa Cruz, Bolivia",Costa Rica,4–0,5–0,1997 Copa América,
17,25,22 June 1997,"Estadio Ramón Tahuichi Aguilera, Santa Cruz, Bolivia",Paraguay,1–0,2–0,1997 Copa América,
18,25,22 June 1997,"Estadio Ramón Tahuichi Aguilera, Santa Cruz, Bolivia",Paraguay,2–0,2–0,1997 Copa América,
19,27,29 June 1997,"Estadio Hernando Siles, La Paz, Bolivia",Bolivia,2–1,3–1,1997 Copa América,
20,28,10 August 1997,"Seoul Olympic Stadium, Seoul, South Korea",South Korea,1–1‡,2–1,Friendly,
21,33,19 December 1997,"King Fahd International Stadium, Riyadh, Saudi Arabia",Czech Republic,2–0,2–0,1997 FIFA Confederations Cup,
22,34,21 December 1997,"King Fahd International Stadium, Riyadh, Saudi Arabia",Australia,1–0,6–0,1997 FIFA Confederations Cup,
23,34,21 December 1997,"King Fahd International Stadium, Riyadh, Saudi Arabia",Australia,2–0,6–0,1997 FIFA Confederations Cup,
24,34,21 December 1997,"King Fahd International Stadium, Riyadh, Saudi Arabia",Australia,5–0,6–0,1997 FIFA Confederations Cup,
25,35,25 March 1998,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",Germany,2–1,2–1,Friendly,
26,39,16 June 1998,"Stade de la Beaujoire, Nantes, France",Morocco,1–0,3–0,1998 FIFA World Cup,
27,41,27 June 1998,"Parc des Princes, Paris, France",Chile,3–0‡,4–1,1998 FIFA World Cup,
28,41,27 June 1998,"Parc des Princes, Paris, France",Chile,4–1,4–1,1998 FIFA World Cup,
29,43,7 July 1998,"Stade Vélodrome, Marseille, France",Netherlands,1–0,1–1 (4–2 p),1998 FIFA World Cup,
30,45,26 June 1999,"Arena da Baixada, Curitiba, Brazil",Latvia,3–0,3–0,Friendly,
31,46,30 June 1999,"Estadio Antonio Aranda, Ciudad del Este, Paraguay",Venezuela,1–0,7–0,1999 Copa América,
32,46,30 June 1999,"Estadio Antonio Aranda, Ciudad del Este, Paraguay",Venezuela,4–0,7–0,1999 Copa América,
33,48,6 July 1999,"Estadio Antonio Aranda, Ciudad del Este, Paraguay",Chile,1–0‡,1–0,1999 Copa América,
34,49,11 July 1999,"Estadio Antonio Aranda, Ciudad del Este, Paraguay",Argentina,2–1,2–1,1999 Copa América,
35,51,18 July 1999,"Estadio Defensores del Chaco, Asunción, Paraguay",Uruguay,3–0,3–0,1999 Copa América,
36,53,7 September 1999,"Estádio Beira-Rio, Porto Alegre, Brazil",Argentina,4–1,4–2,Friendly,
37,57,25 May 2002,"Bukit Jalil National Stadium, Kuala Lumpur, Malaysia",Malaysia,1–0,4–0,Friendly,
38,58,3 June 2002,"Ulsan Munsu Football Stadium, Ulsan, South Korea",Turkey,1–1,2–1,2002 FIFA World Cup,
39,59,8 June 2002,"Jeju World Cup Stadium, Seogwipo, South Korea",China,4–0,4–0,2002 FIFA World Cup,
40,60,13 June 2002,"Suwon World Cup Stadium, Suwon, South Korea",Costa Rica,1–0,5–2,2002 FIFA World Cup,
41,60,13 June 2002,"Suwon World Cup Stadium, Suwon, South Korea",Costa Rica,2–0,5–2,2002 FIFA World Cup,
42,61,17 June 2002,"Noevir Stadium Kobe, Kobe, Japan",Belgium,2–0,2–0,2002 FIFA World Cup,
43,63,26 June 2002,"Saitama Stadium, Saitama, Japan",Turkey,1–0,1–0,2002 FIFA World Cup,
44,64,30 June 2002,"Nissan Stadium, Yokohama, Japan",Germany,1–0,2–0,2002 FIFA World Cup,
45,64,30 June 2002,"Nissan Stadium, Yokohama, Japan",Germany,2–0,2–0,2002 FIFA World Cup,
46,66,20 November 2002,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,1–1,3–2,Friendly,
47,66,20 November 2002,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,2–2,3–2,Friendly,
48,70,7 September 2003,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Colombia,1–0,2–1,2006 FIFA World Cup qualification,
49,74,18 November 2003,"Pinheirão, Curitiba, Brazil",Uruguay,2–1,3–3,2006 FIFA World Cup qualification,
50,74,18 November 2003,"Pinheirão, Curitiba, Brazil",Uruguay,3–3,3–3,2006 FIFA World Cup qualification,
51,78,2 June 2004,"Mineirão, Belo Horizonte, Brazil",Argentina,1–0‡,3–1,2006 FIFA World Cup qualification,
52,78,2 June 2004,"Mineirão, Belo Horizonte, Brazil",Argentina,2–0‡,3–1,2006 FIFA World Cup qualification,
53,78,2 June 2004,"Mineirão, Belo Horizonte, Brazil",Argentina,3–1‡,3–1,2006 FIFA World Cup qualification,
54,81,5 September 2004,"Estádio do Morumbi, São Paulo, Brazil",Bolivia,1–0,3–1,2006 FIFA World Cup qualification,
55,83,9 October 2004,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,3–0,5–2,2006 FIFA World Cup qualification,
56,83,9 October 2004,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,4–0,5–2,2006 FIFA World Cup qualification,
57,90,12 October 2005,"Estádio Olímpico do Pará, Pará, Brazil",Venezuela,2–0,3–0,2006 FIFA World Cup qualification,
58,91,1 March 2006,"RZD Arena, Moscow, Russia",Russia,1–0,1–1,Friendly,
59,92,4 June 2006,"Stade de Genève, Geneva, Switzerland",New Zealand,1–0,4–0,Friendly,
60,95,22 June 2006,"Westfalenstadion, Dortmund, Germany",Japan,1–1,4–1,2006 FIFA World Cup,
61,95,22 June 2006,"Westfalenstadion, Dortmund, Germany",Japan,4–1,4–1,2006 FIFA World Cup,
62,96,27 June 2006,"Westfalenstadion, Dortmund, Germany",Ghana,1–0,3–0,2006 FIFA World Cup,
