# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Novara,2012–13,Serie B,21,4,0,0,—,—,—,—,2,0,23,4
Udinese,2013–14,Serie A,24,4,4,0,—,—,0,0,—,—,28,4
Udinese,2014–15,Serie A,31,3,3,1,—,—,—,—,—,—,34,4
Udinese,2015–16,Serie A,31,3,2,0,—,—,—,—,—,—,33,3
Udinese,Total,Total,86,10,9,1,—,—,0,0,—,—,95,11
Sampdoria,2016–17,Serie A,33,5,2,0,—,—,—,—,—,—,35,5
Sporting CP,2017–18,Primeira Liga,33,11,5,1,4,0,14,4,—,—,56,16
Sporting CP,2018–19,Primeira Liga,33,20,7,7,5,3,8,3,—,—,53,33
Sporting CP,2019–20,Primeira Liga,17,8,1,0,4,2,5,5,1,0,28,15
Sporting CP,Total,Total,83,39,13,8,13,5,27,12,1,0,137,64
Manchester United,2019–20,Premier League,14,8,3,1,—,—,5,3,—,—,22,12
Manchester United,2020–21,Premier League,37,18,3,1,3,0,15,9,—,—,58,28
Manchester United,2021–22,Premier League,36,10,2,0,1,0,7,0,—,—,46,10
Manchester United,2022–23,Premier League,37,8,6,3,5,2,11,1,—,—,59,14
Manchester United,2023–24,Premier League,35,10,6,3,1,0,6,2,—,—,48,15
Manchester United,2024–25,Premier League,36,8,3,2,3,2,14,7,1,0,57,19
Manchester United,2025–26,Premier League,6,2,0,0,1,0,—,—,—,—,7,2
Manchester United,Total,Total,201,64,23,10,14,4,58,22,1,0,297,100
Career total,Career total,Career total,424,122,47,19,27,9,85,34,4,0,587,184
