# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1991–92,Eredivisie,13,2,–,–,–,–,3,0,–,–,16,2
Ajax,1992–93,Eredivisie,28,4,5,5,–,–,8,3,–,–,41,12
Ajax,1993–94,Eredivisie,15,2,1,0,–,–,5,2,–,–,21,4
Ajax,1994–95,Eredivisie,22,5,2,0,–,–,7,0,–,–,31,5
Ajax,1995–96,Eredivisie,28,7,6,0,–,–,11,1,3,0,48,8
Ajax,Total,Total,106,20,14,5,0,0,34,6,3,0,157,31
AC Milan,1996–97,Serie A,15,0,4,0,–,–,4,1,1,0,24,1
AC Milan,1997–98,Serie A,4,0,2,0,–,–,–,–,–,–,6,0
AC Milan,Total,Total,19,0,6,0,0,0,4,1,1,0,30,1
Juventus,1997–98,Serie A,20,2,3,0,–,–,5,0,–,–,28,2
Juventus,1998–99,Serie A,27,2,4,1,–,–,9,0,1,0,41,3
Juventus,1999–2000,Serie A,27,1,3,0,–,–,5,0,–,–,35,1
Juventus,2000–01,Serie A,26,1,1,0,–,–,5,0,–,–,32,1
Juventus,2001–02,Serie A,28,2,2,0,–,–,9,0,–,–,39,2
Juventus,2002–03,Serie A,26,1,0,0,–,–,15,1,0,0,41,2
Juventus,2003–04,Serie A,5,0,2,0,–,–,5,0,0,0,12,0
Juventus,Total,Total,159,8,15,1,0,0,53,1,1,0,228,11
Barcelona,2003–04,La Liga,18,1,2,0,–,–,–,–,–,–,20,1
Inter Milan,2004–05,Serie A,14,0,4,0,–,–,5,0,–,–,23,0
Tottenham Hotspur,2005–06,Premier League,31,1,0,0,0,0,–,–,–,–,31,1
Tottenham Hotspur,2006–07,Premier League,9,0,0,0,3,0,1,0,–,–,13,0
Tottenham Hotspur,Total,Total,40,1,0,0,3,0,1,0,0,0,44,1
Ajax,2006–07,Eredivisie,11,1,3,0,–,–,0,0,0,0,14,1
Ajax,2007–08,Eredivisie,14,0,0,0,–,–,0,0,0,0,14,0
Ajax,Total,Total,25,1,3,0,0,0,0,0,0,0,31,1
Crystal Palace,2010–11,Championship,6,0,–,–,1,0,–,–,–,–,7,0
Barnet,2012–13,League Two,28,1,1,0,0,0,–,–,–,–,29,1
Barnet,2013–14,Conference Premier,8,0,1,0,0,0,–,–,1,0,10,0
Barnet,Total,Total,36,1,2,0,0,0,0,0,1,0,39,1
Total,Total,Total,423,32,46,6,4,0,97,8,6,0,576,47
