# List of international goals scored by Andrey Arshavin
No.,Date,Venue,Opponent,Score,Result,Competition
1,13 February 2003,"Tsirion Stadium, Limassol, Cyprus",Romania,3–1,4–2,Friendly
2,9 October 2004,"Stade Josy Barthel, Luxembourg, Luxembourg",Luxembourg,2–0,4–0,2006 World Cup qualification
3,13 October 2004,"Estádio José Alvalade, Lisbon, Portugal",Portugal,1–4,1–7,2006 World Cup qualification
4,30 March 2005,"A. Le Coq Arena, Tallinn, Estonia",Estonia,1–0,1–1,2006 World Cup qualification
5,4 June 2005,"Petrovsky Stadium, Saint Petersburg, Russia",Latvia,1–0,2–0,2006 World Cup qualification
6,8 June 2005,"Borussia Park, Mönchengladbach, Germany",Germany,2–2,2–2,Friendly
7,17 August 2005,"Skonto Stadium, Riga, Latvia",Latvia,1–1,1–1,2006 World Cup qualification
8,7 October 2006,"Dynamo Stadium, Moscow, Russia",Israel,1–0,1–1,Euro 2008 qualification
9,15 November 2006,"Skopje City Stadium, Skopje, Republic of Macedonia",Macedonia,2–0,2–0,Euro 2008 qualification
10,8 September 2007,"Lokomotiv Stadium, Moscow, Russia",Macedonia,2–0,3–0,Euro 2008 qualification
11,4 June 2008,"Wacker Arena, Burghausen, Germany",Lithuania,2–1,4–1,Friendly
12,18 June 2008,"Tivoli-Neu, Innsbruck, Austria",Sweden,2–0,2–0,Euro 2008
13,21 June 2008,"St. Jakob-Park, Basel, Switzerland",Netherlands,3–1,3–1,Euro 2008
14,11 October 2008,"Signal Iduna Park, Dortmund, Germany",Germany,1–2,1–2,2010 World Cup qualification
15,15 October 2008,"Lokomotiv Stadium, Moscow, Russia",Finland,3–0,3–0,2010 World Cup qualification
16,14 October 2009,"Tofik Bakhramov Stadium, Baku, Azerbaijan",Azerbaijan,1–0,1–1,2010 World Cup qualification
17,29 February 2012,"Parken Stadium, Copenhagen, Denmark",Denmark,2–0,2–0,Friendly
