# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,European Cup Apps,European Cup Goals,Total Apps,Total Goals
Leeds United,1948-49,Second Division,3,0,0,0,—,—,3,0
Leeds United,1949–50,Second Division,42,1,5,0,—,—,47,1
Leeds United,1950–51,Second Division,34,3,2,0,—,—,36,3
Leeds United,1951–52,Second Division,18,0,5,0,—,—,23,0
Leeds United,1952–53,Second Division,40,26,1,1,—,—,41,27
Leeds United,1953–54,Second Division,39,42,2,1,—,—,41,43
Leeds United,1954–55,Second Division,40,11,2,1,—,—,42,12
Leeds United,1955–56,Second Division,42,29,1,0,—,—,43,29
Leeds United,1956–57,First Division,40,38,1,1,—,—,41,39
Leeds United,Total,Total,298,150,19,4,—,—,317,154
Juventus,1957–58,Serie A,34,28,4,1,—,—,38,29
Juventus,1958–59,Serie A,30,19,4,5,2,0,36,24
Juventus,1959–60,Serie A,34,23,3,3,—,—,37,26
Juventus,1960–61,Serie A,32,15,3,1,2,0,37,16
Juventus,1961–62,Serie A,21,8,4,2,6,0,31,10
Juventus,Total,Total,151,93,18,12,10,0,179,105
Leeds United,1962–63,Second Division,11,3,0,0,—,—,11,3
Roma,1962–63,Serie A,10,4,3,0,—,—,13,4
Cardiff City,1963–64,Second Division,33,11,1,0,—,—,34,11
Cardiff City,1964–65,Second Division,28,3,1,0,—,—,29,3
Cardiff City,1965–66,Second Division,7,4,2,0,—,—,9,4
Cardiff City,Total,Total,68,18,4,0,—,—,72,18
Career total,Career total,Career total,538,268,44,16,10,0,592,284
