# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Cobresal,1985,Primera División,2,0,0,0,0,0,2,0
Cobresal,1986,Primera División,0,0,3,1,0,0,3,1
Cobresal,Total,Total,2,0,3,1,0,0,5,1
Cobreandino,1986,Segunda División,29,27,0,0,0,0,29,27
Cobresal,1987,Primera División,14,14,14,13,0,0,28,27
Cobresal,1988,Primera División,29,8,0,0,0,0,29,8
Cobresal,Total,Total,43,22,14,13,0,0,57,35
St. Gallen,1988–89,Swiss Super League,17,10,1,0,0,0,18,10
St. Gallen,1989–90,Swiss Super League,33,23,3,2,0,0,36,25
St. Gallen,1990–91,Swiss Super League,6,1,0,0,4,2,10,3
St. Gallen,Total,Total,56,34,4,2,4,2,64,38
Sevilla,1990–91,La Liga,29,9,3,1,0,0,32,10
Sevilla,1991–92,La Liga,30,12,1,1,0,0,31,13
Sevilla,Total,Total,59,21,4,2,0,0,63,23
Real Madrid,1992–93,La Liga,34,26,4,6,7,5,45,37
Real Madrid,1993–94,La Liga,36,11,6,4,5,2,47,17
Real Madrid,1994–95,La Liga,38,28,1,0,5,3,44,31
Real Madrid,1995–96,La Liga,29,12,4,0,5,4,38,16
Real Madrid,Total,Total,137,77,15,10,22,14,174,101
Inter Milan,1996–97,Serie A,31,7,6,4,10,2,47,13
Inter Milan,1997–98,Serie A,13,1,2,0,5,2,20,3
Inter Milan,1998–99,Serie A,25,9,3,2,10,3,38,14
Inter Milan,1999–2000,Serie A,30,7,5,1,–,–,35,8
Inter Milan,2000–01,Serie A,2,1,2,0,4,0,8,1
Inter Milan,Total,Total,101,25,18,7,29,7,148,39
América,2000–01,Primera División,17,11,0,0,0,0,17,11
América,2001–02,Primera División,35,18,0,0,9,4,44,22
América,2002–03,Primera División,11,4,0,0,0,0,11,4
América,Total,Total,63,33,0,0,9,4,72,37
Colo-Colo,2003,Primera División,14,8,0,0,4,0,18,8
Career total,Career total,Career total,490,233,73,50,59,25,622,349
