# List of international goals scored by Gunnar Gren
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,22 September 1940,"Råsunda, Solna, Sweden",Finland,5–0,5–0,Friendly,
2,4 October 1942,"Råsunda, Solna, Sweden",Denmark,1–0,2–1,Friendly,
3,20 June 1943,"Parken, Copenhagen, Denmark",Denmark,1–1,2–3,Friendly,
4,1 July 1945,"Parken, Copenhagen, Denmark",Denmark,4–3,4–3,Friendly,
5,26 August 1945,"Ullevi, Gothenburg, Sweden",Finland,2–0,7–2,Friendly,
6,26 August 1945,"Ullevi, Gothenburg, Sweden",Finland,5–2,7–2,Friendly,
7,26 August 1945,"Ullevi, Gothenburg, Sweden",Finland,6–2,7–2,Friendly,
8,21 October 1945,"Råsunda, Solna, Sweden",Norway,7–0,10–0,Friendly,
9,23 June 1946,"Parken, Copenhagen, Denmark",Denmark,1–1,1–3,Friendly,
10,7 July 1946,"Råsunda, Solna, Sweden",Switzerland,1–1,7–2,Friendly,
11,7 July 1946,"Råsunda, Solna, Sweden",Switzerland,3–1,7–2,Friendly,
12,7 July 1946,"Råsunda, Solna, Sweden",Switzerland,4–2,7–2,Friendly,
13,7 July 1946,"Råsunda, Solna, Sweden",Switzerland,6–2,7–2,Friendly,
14,15 September 1946,"Ullevaal, Oslo, Norway",Norway,2–0,3–0,Friendly,
15,6 October 1946,"Ullevi, Gothenburg, Sweden",Denmark,1–0,3–3,Friendly,
16,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,3–0,7–0,Friendly,
17,5 October 1947,"Råsunda, Solna, Sweden",Norway,1–0,4–1,Friendly,
18,19 November 1947,"Highbury, London, England",England,2–3,2–4,Friendly,
19,11 July 1948,"Råsunda, Solna, Sweden",Austria,2–1,3–2,Friendly,
20,11 July 1948,"Råsunda, Solna, Sweden",Austria,3–2,3–2,Friendly,
21,5 August 1948,"Selhurst Park, London, England",South Korea,3–0,12–0,1948 Summer Olympics,
22,13 August 1948,"Wembley Stadium, London, England",Yugoslavia,1–0,3–1,1948 Summer Olympics,
23,13 August 1948,"Wembley Stadium, London, England",Yugoslavia,3–1,3–1,1948 Summer Olympics,
24,14 November 1948,"Praterstadion, Vienna, Austria",Austria,1–2,1–2,Friendly,
25,19 June 1949,"Råsunda, Solna, Sweden",Hungary,2–2,2–2,Friendly,
26,22 September 1957,"Råsunda, Solna, Sweden",Finland,1–0,5–1,1956–59 Nordic Football Championship,
27,22 September 1957,"Råsunda, Solna, Sweden",Finland,2–0,5–1,1956–59 Nordic Football Championship,
28,22 September 1957,"Råsunda, Solna, Sweden",Finland,5–1,5–1,1956–59 Nordic Football Championship,
29,13 October 1957,"Råsunda, Solna, Sweden",Norway,5–2,5–2,1956–59 Nordic Football Championship,
30,24 June 1958,"Ullevi, Gothenburg, Sweden",West Germany,2–1,3–1,1958 FIFA World Cup,
31,26 October 1958,"Råsunda, Solna, Sweden",Denmark,3–2,4–4,1956–59 Nordic Football Championship,
32,26 October 1958,"Råsunda, Solna, Sweden",Denmark,4–3,4–4,1956–59 Nordic Football Championship,
