# Appearances and goals by club, season and competition:
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vicenza,1982–83,Serie C1,1,0,0,0,–,–,–,–,1,0
Vicenza,1983–84,Serie C1,6,1,4,0,–,–,2,1,12,2
Vicenza,1984–85,Serie C1,29,12,5,2,–,–,–,–,34,14
Vicenza,Total,Total,36,13,9,2,–,–,2,1,47,16
Fiorentina,1985–86,Serie A,0,0,5,0,–,–,–,–,5,0
Fiorentina,1986–87,Serie A,5,1,4,2,1,0,–,–,10,3
Fiorentina,1987–88,Serie A,27,6,7,3,–,–,–,–,34,9
Fiorentina,1988–89,Serie A,30,15,10,9,–,–,1,0,41,24
Fiorentina,1989–90,Serie A,32,17,2,1,12,1,–,–,46,19
Fiorentina,Total,Total,94,39,28,15,13,1,1,0,136,55
Juventus,1990–91,Serie A,33,14,5,3,8,9,1,1,47,27
Juventus,1991–92,Serie A,32,18,8,4,–,–,–,–,40,22
Juventus,1992–93,Serie A,27,21,7,3,9,6,–,–,43,30
Juventus,1993–94,Serie A,32,17,2,2,7,3,–,–,41,22
Juventus,1994–95,Serie A,17,8,4,2,8,4,–,–,29,14
Juventus,Total,Total,141,78,26,14,32,22,1,1,200,115
AC Milan,1995–96,Serie A,28,7,1,0,5,3,–,–,34,10
AC Milan,1996–97,Serie A,23,5,5,3,5,1,0,0,33,9
AC Milan,Total,Total,51,12,6,3,10,4,0,0,67,19
Bologna,1997–98,Serie A,30,22,3,1,–,–,–,–,33,23
Inter Milan,1998–99,Serie A,23,5,4,0,6,4,2,1,35,10
Inter Milan,1999–00,Serie A,18,4,5,1,–,–,1,2,24,7
Inter Milan,Total,Total,41,9,9,1,6,4,3,3,59,17
Brescia,2000–01,Serie A,25,10,3,0,–,–,–,–,28,10
Brescia,2001–02,Serie A,12,11,1,0,2,1,–,–,15,12
Brescia,2002–03,Serie A,32,12,0,0,–,–,–,–,32,12
Brescia,2003–04,Serie A,26,12,0,0,0,0,–,–,26,12
Brescia,Total,Total,95,45,4,0,2,1,–,–,101,46
Career total,Career total,Career total,488,218,85,36,63,32,7,5,643,291
