# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Independiente,1998–99,Argentine Primera División,2,0,—,—,0,0,—,—,2,0
Independiente,1999–2000,Argentine Primera División,24,7,—,—,0,0,—,—,24,7
Independiente,2000–01,Argentine Primera División,36,18,—,—,6,2,—,—,42,20
Independiente,2001–02,Argentine Primera División,18,12,—,—,5,1,—,—,23,13
Independiente,Total,Total,80,37,—,—,11,3,—,—,91,40
Manchester United,2001–02,Premier League,13,0,0,0,5,0,0,0,18,0
Manchester United,2002–03,Premier League,25,6,2,0,13,1,5,2,45,9
Manchester United,2003–04,Premier League,24,4,2,1,4,2,2,1,32,8
Manchester United,2004–05,Premier League,1,0,0,0,1,0,1,0,3,0
Manchester United,Total,Total,63,10,4,1,23,3,8,3,98,17
Villarreal,2004–05,La Liga,38,25,1,0,0,0,—,—,39,25
Villarreal,2005–06,La Liga,32,10,2,0,13,3,—,—,47,13
Villarreal,2006–07,La Liga,36,19,4,1,2,1,—,—,42,21
Villarreal,Total,Total,106,54,7,1,15,4,—,—,128,59
Atlético Madrid,2007–08,La Liga,36,16,6,1,11,6,—,—,53,23
Atlético Madrid,2008–09,La Liga,33,32,3,1,9,2,—,—,45,35
Atlético Madrid,2009–10,La Liga,33,18,6,3,17,7,—,—,56,28
Atlético Madrid,2010–11,La Liga,32,8,3,1,6,1,1,0,42,10
Atlético Madrid,2011–12,La Liga,0,0,0,0,2,0,0,0,2,0
Atlético Madrid,Total,Total,134,74,18,6,45,16,1,0,198,96
Inter Milan,2011–12,Serie A,18,2,0,0,2,0,—,—,20,2
Internacional,2012,Série A,19,5,0,0,—,—,—,—,19,5
Internacional,2013,Série A,15,5,8,3,—,—,13,9,36,17
Internacional,Total,Total,34,10,8,3,—,—,13,9,55,22
Cerezo Osaka,2014,J1 League,26,7,2,0,6,2,—,—,34,9
Cerezo Osaka,2015,J2 League,16,10,0,0,—,—,—,—,16,10
Cerezo Osaka,Total,Total,42,17,2,0,6,2,—,—,50,19
Peñarol,2015–16,Uruguayan Primera División,30,8,0,0,3,0,1,0,34,8
Mumbai City,2016,Indian Super League,11,5,—,—,—,—,1,0,12,5
Kitchee,2017–18,Hong Kong Premier League,7,5,2,1,5,0,0,0,14,6
Career total,Career total,Career total,525,222,41,12,110,28,24,12,700,274
